idade;selecao;score;funcao
26;croacia;85.5;ataque
28;croacia;84.5;defesa
31;croacia;84.5;ataque
28;croacia;82.5;defesa
26;croacia;84.5;ataque
25;croacia;82.0;ataque
27;croacia;80.5;ataque
24;croacia;80.0;ataque
32;croacia;82.5;defesa
27;croacia;78.0;ataque
26;croacia;77.5;ataque
25;croacia;81.5;ataque
27;croacia;76.5;defesa
30;croacia;76.0;defesa
32;croacia;79.5;defesa
28;croacia;75.5;defesa
28;croacia;75.5;ataque
33;croacia;74.0;ataque
28;croacia;76.5;defesa
30;croacia;75.0;defesa
22;croacia;78.5;defesa
26;croacia;78.0;defesa
25;croacia;73.5;ataque
30;croacia;78.0;defesa
34;croacia;78.0;defesa
27;croacia;72.5;ataque
26;croacia;72.5;defesa
26;croacia;74.5;ataque
27;croacia;70.5;defesa
26;croacia;72.5;ataque
26;croacia;71.0;defesa
21;croacia;72.0;defesa
19;croacia;75.5;defesa
24;croacia;72.5;ataque
30;croacia;71.0;defesa
32;croacia;70.5;ataque
22;croacia;72.5;ataque
23;croacia;69.5;ataque
24;croacia;72.0;defesa
27;croacia;67.0;defesa
27;croacia;66.0;defesa
39;croacia;65.0;defesa
30;croacia;65.5;ataque
31;croacia;64.5;defesa
31;croacia;69.0;ataque
23;croacia;66.0;ataque
22;croacia;72.5;ataque
26;croacia;65.5;defesa
35;croacia;68.0;defesa
33;croacia;67.5;defesa
24;croacia;64.5;defesa
24;croacia;65.5;defesa
25;croacia;64.0;ataque
24;croacia;64.0;defesa
23;croacia;63.5;ataque
20;croacia;73.0;ataque
28;croacia;62.5;defesa
26;croacia;61.5;ataque
22;croacia;63.5;ataque
26;croacia;61.5;ataque
24;republica_tcheca;90.5;defesa
33;republica_tcheca;89.0;defesa
25;republica_tcheca;88.0;defesa
33;republica_tcheca;84.5;ataque
28;republica_tcheca;84.0;defesa
26;republica_tcheca;81.5;defesa
33;republica_tcheca;85.0;ataque
26;republica_tcheca;81.0;defesa
24;republica_tcheca;82.0;ataque
29;republica_tcheca;80.5;ataque
33;republica_tcheca;81.5;defesa
27;republica_tcheca;79.0;ataque
24;republica_tcheca;79.5;defesa
26;republica_tcheca;81.0;defesa
25;republica_tcheca;83.0;defesa
28;republica_tcheca;77.5;defesa
32;republica_tcheca;78.0;defesa
23;republica_tcheca;77.5;ataque
33;republica_tcheca;77.0;defesa
23;republica_tcheca;78.5;ataque
22;republica_tcheca;78.5;ataque
30;republica_tcheca;76.5;ataque
25;republica_tcheca;74.5;defesa
