key_id;tournament_id;tournament_name;match_id;match_name;stage_name;group_name;group_stage;knockout_stage;replayed;replay;match_date;match_time;stadium_id;stadium_name;city_name;country_name;home_team_id;home_team_name;home_team_code;away_team_id;away_team_name;away_team_code;score;home_team_score;away_team_score;home_team_score_margin;away_team_score_margin;extra_time;penalty_shootout;score_penalties;home_team_score_penalties;away_team_score_penalties;result;home_team_win;away_team_win;draw
773;WC-2014;2014 FIFA World Cup;M-2014-01;Brazil v Croatia;group stage;Group A;1;0;0;0;2014-06-12;17:00;S-022;Arena Corinthians;São Paulo;Brazil;T-09;Brazil;BRA;T-17;Croatia;HRV;3–1;3;1;2;-2;0;0;0-0;0;0;home team win;1;0;0
774;WC-2014;2014 FIFA World Cup;M-2014-02;Mexico v Cameroon;group stage;Group A;1;0;0;0;2014-06-13;13:00;S-015;Arena das Dunas;Natal;Brazil;T-44;Mexico;MEX;T-11;Cameroon;CMR;1–0;1;0;1;-1;0;0;0-0;0;0;home team win;1;0;0
775;WC-2014;2014 FIFA World Cup;M-2014-03;Spain v Netherlands;group stage;Group B;1;0;0;0;2014-06-13;16:00;S-021;Arena Fonte Nova;Salvador;Brazil;T-70;Spain;ESP;T-46;Netherlands;NLD;1–5;1;5;-4;4;0;0;0-0;0;0;away team win;0;1;0
776;WC-2014;2014 FIFA World Cup;M-2014-04;Chile v Australia;group stage;Group B;1;0;0;0;2014-06-13;18:00;S-010;Arena Pantanal;Cuiabá;Brazil;T-13;Chile;CHL;T-04;Australia;AUS;3–1;3;1;2;-2;0;0;0-0;0;0;home team win;1;0;0
777;WC-2014;2014 FIFA World Cup;M-2014-05;Colombia v Greece;group stage;Group C;1;0;0;0;2014-06-14;13:00;S-008;Estádio Mineirão;Belo Horizonte;Brazil;T-15;Colombia;COL;T-31;Greece;GRC;3–0;3;0;3;-3;0;0;0-0;0;0;home team win;1;0;0
778;WC-2014;2014 FIFA World Cup;M-2014-06;Uruguay v Costa Rica;group stage;Group D;1;0;0;0;2014-06-14;16:00;S-013;Estádio Castelão;Fortaleza;Brazil;T-80;Uruguay;URY;T-16;Costa Rica;CRI;1–3;1;3;-2;2;0;0;0-0;0;0;away team win;0;1;0
779;WC-2014;2014 FIFA World Cup;M-2014-07;England v Italy;group stage;Group D;1;0;0;0;2014-06-14;18:00;S-014;Arena da Amazônia;Manaus;Brazil;T-27;England;ENG;T-39;Italy;ITA;1–2;1;2;-1;1;0;0;0-0;0;0;away team win;0;1;0
780;WC-2014;2014 FIFA World Cup;M-2014-08;Ivory Coast v Japan;group stage;Group C;1;0;0;0;2014-06-14;22:00;S-018;Arena Pernambuco;Recife;Brazil;T-40;Ivory Coast;CIV;T-42;Japan;JPN;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
781;WC-2014;2014 FIFA World Cup;M-2014-09;Switzerland v Ecuador;group stage;Group E;1;0;0;0;2014-06-15;13:00;S-009;Estádio Nacional;Brasília;Brazil;T-72;Switzerland;CHE;T-24;Ecuador;ECU;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
782;WC-2014;2014 FIFA World Cup;M-2014-10;France v Honduras;group stage;Group E;1;0;0;0;2014-06-15;16:00;S-016;Estádio Beira-Rio;Porto Alegre;Brazil;T-28;France;FRA;T-33;Honduras;HND;3–0;3;0;3;-3;0;0;0-0;0;0;home team win;1;0;0
