GER-POT;Nome;Posições Preferidas;Idade;ano;page;selecao
;;;;2014;1;7
;;;;2014;1;7
8890.0;Eden Hazard;ME;24.0;2014;1;7
8690.0;Thibaut Courtois;GOL;23.0;2014;1;7
8686.0;Vincent Kompany;ZAG;29.0;2014;1;7
8588.0;Kevin De Bruyne;MEIMEMD;24.0;2014;1;7
8285.0;Dries Mertens;MEIPE;28.0;2014;1;7
;;;;2014;1;7
;;;;2014;1;7
8282.0;Jan Vertonghen;ZAGLE;28.0;2014;1;7
8184.0;Christian Benteke;ATA;24.0;2014;1;7
8184.0;Radja Nainggolan;MC;27.0;2014;1;7
8086.0;Romelu Lukaku;ATA;22.0;2014;1;7
8085.0;Axel Witsel;MCVOL;26.0;2014;1;7
;;;;2014;1;7
;;;;2014;1;7
8080.0;Simon Mignolet;GOL;27.0;2014;1;7
8080.0;Kevin Mirallas;MEMD;27.0;2014;1;7
7979.0;Moussa Dembélé;MCVOL;28.0;2014;1;7
7979.0;Thomas Vermaelen;ZAGLE;29.0;2014;1;7
7884.0;Yannick Ferreira Carrasco;PE;22.0;2014;1;7
;;;;2014;1;7
;;;;2014;1;7
7882.0;Toby Alderweireld;ZAGVOL;26.0;2014;1;7
7785.0;Thorgan Hazard;MEMEI;22.0;2014;1;7
7780.0;Nacer Chadli;MEPE;26.0;2014;1;7
7777.0;Marouane Fellaini;MCVOL;27.0;2014;1;7
7777.0;Nicolas Lombaerts;ZAG;30.0;2014;1;7
;;;;2014;1;7
;;;;2014;1;7
7681.0;Michy Batshuayi;ATA;21.0;2014;1;7
7677.0;Steven Defour;MCVOL;27.0;2014;1;7
7585.0;Divock Origi;ATAPEPD;20.0;2014;1;7
7586.0;Adnan Januzaj;MEMD;20.0;2014;1;7
7582.0;Dennis Praet;MEIME;21.0;2014;1;7
;;;;2014;1;7
;;;;2014;1;7
7582.0;Maxime Lestienne;PE;23.0;2014;1;7
7575.0;Laurent Ciman;ZAG;30.0;2014;1;7
7488.0;Youri Tielemans;MCMEI;18.0;2014;1;7
7474.0;Tom De Sutter;ATA;30.0;2014;1;7
7474.0;Silvio Proto;GOL;32.0;2014;1;7
;;;;2014;2;7
;;;;2014;2;7
7381.0;Massimo Bruno;MDMEMEI;21.0;2014;2;7
7378.0;Thomas Meunier;LD;23.0;2014;2;7
7379.0;Hans Vanaken;MEI;23.0;2014;2;7
7375.0;Geoffrey Bia;MEMD;26.0;2014;2;7
7375.0;Vadis Odjidja-Ofoe;MCVOL;26.0;2014;2;7
;;;;2014;2;7
;;;;2014;2;7
7373.0;Maarten Martens;MEIMCME;31.0;2014;2;7
7373.0;Igor de Camargo;ATA;32.0;2014;2;7
7278.0;Brandon Mechele;ZAG;22.0;2014;2;7
7282.0;Björn Engels;ZAG;20.0;2014;2;7
7272.0;Ilombe Mboyo;ATA;28.0;2014;2;7
;;;;2014;2;7
;;;;2014;2;7
7275.0;Christian Kabasele;ZAG;24.0;2014;2;7
7272.0;Christian Brüls;MEMEIMD;26.0;2014;2;7
7275.0;Jelle Vossen;ATA;26.0;2014;2;7
7272.0;Sébastien Pocognoli;LE;28.0;2014;2;7
7272.0;Guillaume Gillet;MCVOL;31.0;2014;2;7
;;;;2014;2;7
;;;;2014;2;7
7273.0;Anthony Vanden Borre;LD;27.0;2014;2;7
7272.0;Jean Francois Gillet;GOL;36.0;2014;2;7
7272.0;Jelle Van Damme;LE;31.0;2014;2;7
7272.0;Olivier Deschacht;ZAGLE;34.0;2014;2;7
7272.0;Timmy Simons;VOL;38.0;2014;2;7
;;;;2014;2;7
;;;;2014;2;7
7175.0;Brecht Dejaegere;MEIMCVOLMD;24.0;2014;2;7
7172.0;Katuku Tshimanga;LE;26.0;2014;2;7
7172.0;Sven Kums;MCVOL;27.0;2014;2;7
7171.0;Thomas Buffel;MD;34.0;2014;2;7
7171.0;Sammy Bossut;GOL;30.0;2014;2;7
;;;;2014;2;7
;;;;2014;2;7
7171.0;Killian Overmeire;MC;29.0;2014;2;7
7171.0;Filip Daems;LE;36.0;2014;2;7
7072.0;Laurent Depoitre;ATA;26.0;2014;2;7
7073.0;Jens Naessens;ATAMDME;24.0;2014;2;7
7075.0;Matz Sels;GOL;23.0;2014;2;7
;;;;2014;3;7
;;;;2014;3;7
7078.0;Koen Casteels;GOL;23.0;2014;3;7
7075.0;Laurens De Bock;LE;22.0;2014;3;7
7071.0;Denis Odoi;LELD;27.0;2014;3;7
7072.0;Nill De Pauw;MD;25.0;2014;3;7
7073.0;Ruud Boffin;GOL;27.0;2014;3;7
;;;;2014;3;7
;;;;2014;3;7
7071.0;Seth De Witte;ZAGVOL;27.0;2014;3;7
7072.0;Ritchie De Laet;LD;26.0;2014;3;7
7070.0;Gertjan De Mets;VOLMC;28.0;2014;3;7
7070.0;Steve Colpaert;ZAG;28.0;2014;3;7
7070.0;Koen Persoons;MC;32.0;2014;3;7
;;;;2014;3;7
;;;;2014;3;7
7070.0;Davy De fauw;LD;34.0;2014;3;7
6978.0;Timothy Castagne;LD;19.0;2014;3;7
6980.0;Jason Denayer;ZAG;20.0;2014;3;7
6979.0;Julien De Sart;VOLMC;20.0;2014;3;7
6980.0;Leander Dendoncker;MC;20.0;2014;3;7
;;;;2014;3;7
;;;;2014;3;7
6978.0;Thomas Foket;MDLD;20.0;2014;3;7
6975.0;Dino Arslanagic;ZAG;22.0;2014;3;7
6970.0;Yassine El Ghanassy;PEPDMEI;25.0;2014;3;7
6973.0;Sebastien Dewaest;ZAG;24.0;2014;3;7
6970.0;David Pollet;ATA;27.0;2014;3;7
;;;;2014;3;7
;;;;2014;3;7
6969.0;Thomas Matton;MEMEI;29.0;2014;3;7
6969.0;Jordan Remacle;MEMD;28.0;2014;3;7
6969.0;Jonathan Legear;MD;28.0;2014;3;7
6970.0;Davino Verhulst;GOL;27.0;2014;3;7
6969.0;Christophe Lepoint;MCZAGMEIME;30.0;2014;3;7
;;;;2014;3;7
;;;;2014;3;7
6969.0;Björn Vleminckx;ATA;29.0;2014;3;7
6969.0;Benjamin De Ceulaer;MEATA;31.0;2014;3;7
6969.0;Karel Geraerts;VOLMCMEI;33.0;2014;3;7
6969.0;Gaby Mudingayi;MC;33.0;2014;3;7
6880.0;Obbi Oulare;ATA;19.0;2014;3;7
;;;;2014;4;7
;;;;2014;4;7
6878.0;Nikola Storm;PD;20.0;2014;4;7
6881.0;Siebe Schrijvers;SAATA;19.0;2014;4;7
6877.0;Davy Roef;GOL;21.0;2014;4;7
6874.0;Hannes Van Der Bruggen;MCVOL;22.0;2014;4;7
6877.0;Benito Raman;ATAME;20.0;2014;4;7
;;;;2014;4;7
;;;;2014;4;7
6874.0;Colin Coosemans;GOL;23.0;2014;4;7
6871.0;Benjamin Mokulu;ATA;25.0;2014;4;7
6874.0;Funso Ojo;MCVOL;24.0;2014;4;7
6868.0;Kevin Oris;ATAMEI;30.0;2014;4;7
6868.0;Onur Kaya;ME;29.0;2014;4;7
;;;;2014;4;7
;;;;2014;4;7
6868.0;Kadir Bekmezci;VOLZAGMC;30.0;2014;4;7
6868.0;Stijn De Smet;MEIMDME;30.0;2014;4;7
6868.0;Alessandro Cordaro;MDATA;29.0;2014;4;7
6778.0;Joris Kayembe;PDPE;21.0;2014;4;7
6780.0;Théo Bongonda;ME;19.0;2014;4;7
;;;;2014;4;7
;;;;2014;4;7
6777.0;Pieter Gerkens;MCVOL;20.0;2014;4;7
6771.0;Renaud Emond;ATA;23.0;2014;4;7
6776.0;Michael Heylen;ZAG;21.0;2014;4;7
6775.0;Ibrahima Cissé;VOLMC;21.0;2014;4;7
6776.0;Jordan Lukaku;LE;21.0;2014;4;7
;;;;2014;4;7
;;;;2014;4;7
6771.0;Bryan Verboom;LE;23.0;2014;4;7
6771.0;Mohammed Aoulad;ATAMEI;24.0;2014;4;7
6771.0;Dedryck Boyata;LDZAG;24.0;2014;4;7
6773.0;Gianni Bruno;ATA;24.0;2014;4;7
6767.0;Yoni Buyens;MCVOL;27.0;2014;4;7
;;;;2014;4;7
;;;;2014;4;7
6767.0;Timothy Derijck;ZAG;28.0;2014;4;7
6767.0;Maxime Biset;ZAG;29.0;2014;4;7
6767.0;Jan Wuytens;ZAG;30.0;2014;4;7
6767.0;Steven De Petter;VOLMC;29.0;2014;4;7
6767.0;Wouter Biebauw;GOL;31.0;2014;4;7
;;;;2014;5;7
;;;;2014;5;7
6767.0;Brian Vandenbussche;GOL;33.0;2014;5;7
6767.0;Karel D'Haene;ZAG;35.0;2014;5;7
6767.0;Mohamed Messoudi;MDMEIME;31.0;2014;5;7
6678.0;Boli Bolingoli;PELE;20.0;2014;5;7
6672.0;Marnick Vermijl;LDLE;23.0;2014;5;7
;;;;2014;5;7
;;;;2014;5;7
6671.0;Stefano Marzo;LD;24.0;2014;5;7
6671.0;Marvin Peersman;LEZAG;24.0;2014;5;7
6668.0;Thomas Wils;VOLMC;25.0;2014;5;7
