home_team_name;away_team_name;home_team_win
brasil;croacia;1
mexico;camaroes;1
espanha;holanda;0
chile;australia;1
colombia;grecia;1
uruguai;costa_rica;0
inglaterra;italia;0
costa_do_marfim;japao;1
suica;equador;1
franca;honduras;1
argentina;bosnia_e_herzegovina;1
alemanha;portugal;1
ira;nigeria;0
gana;estados_unidos;0
belgica;algeria;1
brasil;mexico;0
russia;coreia_do_sul;0
australia;holanda;0
espanha;chile;0
camaroes;croacia;0
colombia;costa_do_marfim;1
uruguai;inglaterra;1
japao;grecia;0
italia;costa_rica;0
suica;franca;0
honduras;equador;0
argentina;ira;1
alemanha;gana;0
nigeria;bosnia_e_herzegovina;1
belgica;russia;1
coreia_do_sul;algeria;0
estados_unidos;portugal;0
australia;espanha;0
holanda;chile;1
camaroes;brasil;0
croacia;mexico;0
costa_rica;inglaterra;0
italia;uruguai;0
japao;colombia;0
grecia;costa_do_marfim;1
bosnia_e_herzegovina;ira;1
nigeria;argentina;0
honduras;suica;0
equador;franca;0
portugal;gana;1
estados_unidos;alemanha;0
algeria;russia;0
coreia_do_sul;belgica;0
brasil;chile;1
colombia;uruguai;1
holanda;mexico;1
costa_rica;grecia;1
franca;nigeria;1
alemanha;algeria;1
argentina;suica;1
belgica;estados_unidos;1
franca;alemanha;0
brasil;colombia;1
argentina;belgica;1
holanda;costa_rica;1
brasil;alemanha;0
holanda;argentina;0
brasil;holanda;0
alemanha;argentina;1
