pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1;belgica;26;10;8;2;0;18;4;14;uefa
2;croacia;17;10;5;2;3;12;9;3;uefa
1;italia;22;10;6;4;0;19;9;10;uefa
1;alemanha;28;10;9;1;0;36;10;26;uefa
1;holanda;28;10;9;1;0;34;5;29;uefa
1;suica;24;10;7;3;0;17;6;11;uefa
1;russia;22;10;7;1;2;20;5;15;uefa
2;portugal;21;10;6;3;1;20;9;11;uefa
1;bosnia_e_herzegovina;25;10;8;1;1;30;6;24;uefa
2;grecia;25;10;8;1;1;12;4;8;uefa
1;inglaterra;22;10;6;4;0;31;4;27;uefa
1;espanha;20;8;6;2;0;14;3;11;uefa
2;franca;17;8;5;2;1;15;6;9;uefa
