pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
3;servia;14;10;4;2;4;18;11;7;uefa
4;escocia;11;10;3;2;5;8;12;-4;uefa
5;pais_de_gales;10;10;3;1;6;9;20;-11;uefa
6;macedonia_do_norte;7;10;2;1;7;7;16;-9;uefa
2;dinamarca;16;10;4;4;2;17;12;5;uefa
3;republica_tcheca;15;10;4;3;3;13;9;4;uefa
4;bulgaria;13;10;3;4;3;14;9;5;uefa
5;armenia;13;10;4;1;5;12;13;-1;uefa
6;malta;3;10;1;0;9;5;28;-23;uefa
2;suecia;20;10;6;2;2;19;14;5;uefa
3;austria;17;10;5;2;3;20;10;10;uefa
4;irlanda;14;10;4;2;4;16;17;-1;uefa
5;cazaquistao;5;10;1;2;7;6;21;-15;uefa
6;ilhas_faroe;1;10;0;1;9;4;29;-25;uefa
2;romenia;19;10;6;1;3;19;12;7;uefa
3;hungria;17;10;5;2;3;21;20;1;uefa
4;turquia;16;10;5;1;4;16;9;7;uefa
5;estonia;7;10;2;1;7;6;20;-14;uefa
6;andorra;0;10;0;0;10;0;30;-30;uefa
2;islandia;17;10;5;2;3;17;15;2;uefa
3;eslovenia;15;10;5;0;5;14;11;3;uefa
4;noruega;12;10;3;3;4;10;13;-3;uefa
5;albania;11;10;3;2;5;9;11;-2;uefa
6;chipre;5;10;1;2;7;4;15;-11;uefa
3;israel;14;10;3;5;2;19;14;5;uefa
4;azerbaijao;9;10;1;6;3;7;11;-4;uefa
5;irlanda_do_norte;7;10;1;4;5;9;17;-8;uefa
6;luxemburgo;6;10;1;3;6;7;26;-19;uefa
3;eslovaquia;13;10;3;4;3;11;10;1;uefa
4;lituania;11;10;3;2;5;9;11;-2;uefa
5;letonia;8;10;2;2;6;10;20;-10;uefa
6;liechtenstein;2;10;0;2;8;4;25;-21;uefa
2;ucrania;21;10;6;3;1;28;4;24;uefa
3;montenegro;15;10;4;3;3;18;17;1;uefa
4;polonia;13;10;3;4;3;18;12;6;uefa
5;moldavia;11;10;3;2;5;12;17;-5;uefa
6;san_marino;0;10;0;0;10;1;54;-53;uefa
3;finlandia;9;8;2;3;3;5;9;-4;uefa
4;georgia;5;8;1;2;5;3;10;-7;uefa
5;bielorrussia;4;8;1;1;6;7;16;-9;uefa
