pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1;etiopia;13;6;4;1;1;8;6;2;caf
2;africa_do_sul;11;6;3;2;1;12;5;7;caf
3;botsuana;7;6;2;1;3;8;10;-2;caf
4;republica_centro-africana;3;6;1;0;5;5;12;-7;caf
1;tunisia;14;6;4;2;0;13;6;7;caf
2;cabo_verde;9;6;3;0;3;9;7;2;caf
3;serra_leoa;8;6;2;2;2;10;10;0;caf
4;guine_equatorial;2;6;0;2;4;6;15;-9;caf
2;marrocos;9;6;2;3;1;9;8;1;caf
3;tanzania;6;6;2;0;4;8;12;-4;caf
4;gambia;4;6;1;1;4;4;11;-7;caf
2;zambia;11;6;3;2;1;11;4;7;caf
3;lesoto;5;6;1;2;3;4;15;-13;caf
4;sudao;2;6;0;2;4;3;14;-11;caf
1;burquina_fasso;12;6;4;0;2;7;4;3;caf
2;congo;11;6;3;2;1;7;3;4;caf
3;gabao;7;6;2;1;3;5;6;-1;caf
4;niger;4;6;1;1;4;6;12;-6;caf
2;malawi;7;6;1;4;1;4;5;-1;caf
3;quenia;6;6;1;3;2;4;5;-1;caf
4;namibia;5;6;1;2;3;2;4;-2;caf
1;egito;18;6;6;0;0;16;7;9;caf
2;guine;10;6;3;1;2;12;8;4;caf
3;mocambique;3;6;0;3;3;2;10;-8;caf
4;zimbabwe;2;6;0;2;4;4;9;-5;caf
2;mali;8;6;2;2;2;7;7;0;caf
3;benim;8;6;2;2;2;8;9;-1;caf
4;ruanda;2;6;0;2;4;3;11;-8;caf
2;libia;9;6;2;3;1;5;3;2;caf
3;rd_congo;6;6;1;3;2;3;3;0;caf
4;togo;4;6;1;1;4;4;11;-7;caf
1;senegal;12;6;3;3;0;9;4;5;caf
2;uganda;8;6;2;2;2;5;6;-1;caf
3;angola;7;6;1;4;1;8;6;2;caf
4;liberia;4;6;1;1;4;4;10;-6;caf
