selecao;ataque_idade_min;ataque_idade_max;ataque_idade_mean;ataque_score_min;ataque_score_max;ataque_score_mean;defesa_idade_min;defesa_idade_max;defesa_idade_mean;defesa_score_min;defesa_score_max;defesa_score_mean
belgica;21;33;26.5;73.0;91.0;79.84;20;36;28.3;74.0;88.5;79.68
servia;21;35;27.14;71.0;87.5;76.86;21;34;27.79;71.0;83.0;75.94
arabia_saudita;21;35;27.94;65.0;73.0;68.71;25;35;28.65;65.0;73.5;68.27
coreia_do_sul;18;36;28.12;69.0;87.5;72.32;22;36;29.11;69.0;76.5;71.64
japao;21;39;28.33;69.5;80.0;73.18;20;36;29.61;70.0;79.0;73.28
senegal;20;34;27.62;69.0;87.0;75.06;20;34;27.4;69.0;89.0;75.4
nigeria;20;33;24.67;68.0;83.0;74.74;22;31;27.25;70.0;77.5;73.38
marrocos;21;35;26.7;68.0;85.5;74.95;20;33;27.88;68.0;82.0;73.65
mexico;19;35;27.24;72.0;84.5;76.59;21;38;29.68;72.0;79.0;75.16
uruguai;21;32;26.71;72.0;91.0;77.77;21;36;29.36;72.0;90.0;77.04
croacia;21;34;26.39;70.0;91.0;77.5;22;34;26.41;71.5;82.0;76.91
brasil;22;35;27.91;80.0;92.0;83.29;21;37;30.0;80.0;89.0;84.02
argentina;21;36;28.81;78.0;94.0;81.8;26;35;30.06;78.0;84.0;80.29
colombia;20;34;28.08;73.0;87.0;77.5;21;33;27.7;74.0;85.0;77.55
suica;22;36;27.62;69.0;82.5;75.51;21;36;27.46;70.0;85.5;76.37
suecia;19;37;28.03;71.0;85.0;74.58;22;34;28.45;71.0;84.0;74.7
dinamarca;19;36;26.38;71.0;88.5;76.07;22;34;27.35;71.0;83.5;76.2
inglaterra;19;33;26.67;77.0;91.0;81.2;20;36;27.4;78.0;85.5;80.75
franca;20;36;27.32;80.0;91.5;83.85;20;35;27.09;80.0;89.5;83.78
alemanha;20;32;26.53;79.0;89.0;83.25;22;33;27.35;79.0;90.5;82.9
polonia;21;36;27.23;69.0;90.0;74.63;21;39;29.53;70.0;87.0;74.32
portugal;19;35;26.58;76.0;94.0;81.32;22;37;28.55;76.0;86.0;80.22
russia;21;36;26.53;68.0;82.5;75.47;20;35;28.25;68.0;81.0;74.93
espanha;23;38;28.71;81.0;90.0;83.65;23;38;29.89;82.0;91.0;84.97
australia;20;35;27.27;67.0;77.5;70.7;22;37;29.74;67.0;81.5;71.28
islandia;19;35;26.91;59.0;82.0;69.75;17;36;27.19;57.5;75.5;68.0
tunisia;20;35;27.12;62.0;79.0;69.83;21;36;28.27;61.0;78.5;69.27
peru;19;40;26.41;60.5;78.0;70.95;19;33;26.64;64.5;76.5;70.68
egito;22;34;27.93;66.0;89.0;73.53;23;36;29.4;66.0;76.5;69.27
costa_rica;20;31;25.71;62.0;76.0;68.75;20;32;27.07;63.5;87.0;70.3
ira;18;32;26.5;66.5;77.5;71.0;23;26;24.0;68.5;73.5;70.83
panama;22;29;24.67;57.0;73.0;66.25;23;35;29.5;68.0;76.0;70.88
