pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
3;holanda;19;10;6;1;3;21;12;9;uefa
4;bulgaria;13;10;4;1;5;14;19;-5;uefa
5;luxemburgo;6;10;1;3;6;8;26;-18;uefa
6;bielorrussia;5;10;1;2;7;6;21;-15;uefa
3;hungria;13;10;4;1;5;14;14;0;uefa
4;ilhas_faroe;9;10;2;3;5;4;16;-12;uefa
5;letonia;7;10;2;1;7;7;18;-11;uefa
6;andorra;4;10;1;1;8;2;23;-21;uefa
2;irlanda_do_norte;19;10;6;1;3;17;6;11;uefa
3;republica_tcheca;15;10;4;3;3;17;10;7;uefa
4;noruega;13;10;4;1;5;17;16;1;uefa
5;azerbaijao;10;10;3;1;6;10;19;-9;uefa
6;san_marino;0;10;0;0;10;2;51;-49;uefa
2;irlanda;19;10;5;4;1;12;6;6;uefa
3;pais_de_gales;17;10;4;5;1;13;6;7;uefa
4;austria;15;10;4;3;3;14;12;2;uefa
5;georgia;5;10;0;5;5;8;14;-6;uefa
6;moldavia;2;10;0;2;8;4;23;-19;uefa
3;montenegro;16;10;5;1;4;20;12;8;uefa
4;romenia;13;10;3;4;3;12;10;2;uefa
5;armenia;7;10;2;1;7;10;26;-16;uefa
6;cazaquistao;3;10;0;3;7;6;26;-20;uefa
2;eslovaquia;18;10;6;0;4;17;7;10;uefa
3;escocia;18;10;5;3;2;17;12;5;uefa
4;eslovenia;15;10;4;3;3;12;7;5;uefa
5;lituania;6;10;1;3;6;7;20;-13;uefa
6;malta;1;10;0;1;9;3;25;-22;uefa
2;italia;23;10;7;2;1;21;8;13;uefa
3;albania;13;10;4;1;5;10;13;-3;uefa
4;israel;12;10;4;0;6;10;15;-5;uefa
5;macedonia_do_norte;11;10;3;2;5;15;15;0;uefa
6;liechtenstein;0;10;0;0;10;1;39;-38;uefa
2;grecia;19;10;5;4;1;17;6;11;uefa
3;bosnia_e_herzegovina;17;10;5;2;3;24;13;11;uefa
4;estonia;11;10;3;2;5;13;19;-6;uefa
5;chipre;10;10;3;1;6;9;18;-9;uefa
6;gibraltar;0;10;0;0;10;3;47;-44;uefa
3;ucrania;17;10;5;2;3;13;9;4;uefa
4;turquia;15;10;4;3;3;14;13;1;uefa
5;finlandia;9;10;2;3;5;9;13;-4;uefa
6;kosovo;1;10;0;1;9;3;24;-21;uefa
