Pos.;vdeSeleção;Pts;J;V;E;D;GP;GC;SG
1;França;23;10;7;2;1;18;6;+12
2;Suécia;19;10;6;1;3;26;9;+17
3;Países Baixos;19;10;6;1;3;21;12;+9
4;Bulgária;13;10;4;1;5;14;19;–5
5;Luxemburgo;6;10;1;3;6;8;26;–18
6;Bielorrússia;5;10;1;2;7;6;21;–15
1;Portugal;27;10;9;0;1;32;4;+28
2;Suíça;27;10;9;0;1;23;7;+16
3;Hungria;13;10;4;1;5;14;14;0
4;Ilhas Faroé;9;10;2;3;5;4;16;–12
5;Letónia;7;10;2;1;7;7;18;–11
6;Andorra;4;10;1;1;8;2;23;–21
1;Alemanha;30;10;10;0;0;43;4;+39
2;Irlanda do Norte;19;10;6;1;3;17;6;+11
3;Chéquia;15;10;4;3;3;17;10;+7
4;Noruega;13;10;4;1;5;17;16;+1
5;Azerbaijão;10;10;3;1;6;10;19;–9
6;San Marino;0;10;0;0;10;2;51;–49
1;Sérvia;21;10;6;3;1;20;10;+10
2;Irlanda;19;10;5;4;1;12;6;+6
3;País de Gales;17;10;4;5;1;13;6;+7
4;Áustria;15;10;4;3;3;14;12;+2
5;Geórgia;5;10;0;5;5;8;14;–6
6;Moldávia;2;10;0;2;8;4;23;–19
1;Polónia;25;10;8;1;1;28;14;+14
2;Dinamarca;20;10;6;2;2;20;8;+12
3;Montenegro;16;10;5;1;4;20;12;+8
4;Romênia;13;10;3;4;3;12;10;+2
5;Armênia;7;10;2;1;7;10;26;–16
6;Cazaquistão;3;10;0;3;7;6;26;–20
1;Inglaterra;26;10;8;2;0;18;3;+15
2;Eslováquia;18;10;6;0;4;17;7;+10
3;Escócia;18;10;5;3;2;17;12;+5
4;Eslovênia;15;10;4;3;3;12;7;+5
5;Lituânia;6;10;1;3;6;7;20;–13
6;Malta;1;10;0;1;9;3;25;–22
1;Espanha;28;10;9;1;0;36;3;+33
2;Itália;23;10;7;2;1;21;8;+13
3;Albânia;13;10;4;1;5;10;13;–3
4;Israel;12;10;4;0;6;10;15;–5
5;Macedônia do Norte;11;10;3;2;5;15;15;0
6;Liechtenstein;0;10;0;0;10;1;39;–38
1;Bélgica;28;10;9;1;0;43;6;+37
2;Grécia;19;10;5;4;1;17;6;+11
3;Bósnia e Herzegovina;17;10;5;2;3;24;13;+11
4;Estónia;11;10;3;2;5;13;19;–6
5;Chipre;10;10;3;1;6;9;18;–9
6;Gibraltar;0;10;0;0;10;3;47;–44
1;Islândia;22;10;7;1;2;16;7;+9
2;Croácia;20;10;6;2;2;15;4;+11
3;Ucrânia;17;10;5;2;3;13;9;+4
4;Turquia;15;10;4;3;3;14;13;+1
5;Finlândia;9;10;2;3;5;9;13;–4
6;Kosovo;1;10;0;1;9;3;24;–21
