Pos.;vdeSeleção;Pts;J;V;E;D;GP;GC;SG
1;Argélia;14;6;4;2;0;25;4;+21
2;Burquina Fasso;12;6;3;3;0;12;4;+8
3;Níger;7;6;2;1;2;13;17;–4
4;Djibouti;0;6;0;0;6;4;29;–25
1;Tunísia;13;6;4;1;1;11;2;+9
2;Guiné Equatorial;11;6;3;2;1;6;5;+1
3;Zâmbia;7;6;2;1;3;8;9;–1
4;Mauritânia;2;6;0;2;4;2;11;–9
1;Nigéria;13;6;4;1;1;9;3;+6
2;Cabo Verde;11;6;3;2;1;8;5;+2
3;Libéria;6;6;2;0;4;5;8;–3
4;República Centro-Africana;4;6;1;1;4;4;9;–5
1;Camarões;15;6;5;0;1;12;3;+9
2;Costa do Marfim;13;6;4;1;1;10;1;+7
3;Moçambique;4;6;1;1;4;2;8;–6
4;Malawi;3;6;1;0;5;2;12;–10
1;Mali;16;6;5;1;0;11;0;+11
2;Uganda;9;6;2;3;1;3;2;+1
3;Quénia;6;6;1;3;2;4;9;–5
4;Ruanda;1;6;0;1;5;2;9;–7
1;Egito;14;6;4;2;0;10;4;+6
2;Gabão;7;6;2;1;3;7;8;–1
3;Líbia;7;6;2;1;3;4;7;–3
4;Angola;5;6;1;2;3;6;8;–2
1;Gana;13;6;4;1;1;7;3;+4
2;África do Sul;13;6;4;1;0;6;2;+4
3;Etiópia;5;6;1;2;3;4;7;–3
4;Zimbabwe;2;6;0;2;4;2;7;–5
1;Senegal;16;6;5;1;0;15;4;+11
2;Togo;8;6;2;2;2;5;6;–1
3;Namíbia;5;6;1;2;3;5;10;–5
4;Congo;3;6;0;3;3;5;10;–5
1;Marrocos;18;6;6;0;0;20;1;+19
2;Guiné-Bissau;6;6;1;3;2;5;11;–6
3;Guiné;4;6;0;4;2;5;11;–6
4;Sudão;3;6;0;3;3;5;12;–7
1;RD Congo;11;6;3;2;1;9;3;+6
2;Benim;10;6;3;1;2;5;4;+1
3;Tanzânia;8;6;2;2;2;6;8;–2
4;Madagascar;4;6;1;1;4;4;9;–5
