pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont;desclassif_qtd;desclassif_pts_min;desclassif_pts_max;desclassif_pts_mean;desclassif_v_min;desclassif_v_max;desclassif_v_mean;desclassif_e_min;desclassif_e_max;desclassif_e_mean;desclassif_d_min;desclassif_d_max;desclassif_d_mean;desclassif_gp_min;desclassif_gp_max;desclassif_gp_mean;desclassif_gc_min;desclassif_gc_max;desclassif_gc_mean;desclassif_sg_min;desclassif_sg_max;desclassif_sg_mean;aprov;perc_v;repescagem;gp_por_jogo;gc_por_jogo;sg_por_jogo;sede
1.0;brasil;34.0;18.0;9.0;7.0;2.0;33.0;11.0;22.0;conmebol;5;13;23;19.2;3;6;5.0;3;5;4.2;7;11;8.8;11;23;18.4;18;36;28.6;-23;-4;-10.2;0.63;0.5;0;1.83;0.61;1.22;0
2.0;chile;33.0;18.0;10.0;3.0;5.0;32.0;22.0;10.0;conmebol;5;13;23;19.2;3;6;5.0;3;5;4.2;7;11;8.8;11;23;18.4;18;36;28.6;-23;-4;-10.2;0.61;0.56;0;1.78;1.22;0.56;0
3.0;paraguai;33.0;18.0;10.0;3.0;5.0;24.0;16.0;8.0;conmebol;5;13;23;19.2;3;6;5.0;3;5;4.2;7;11;8.8;11;23;18.4;18;36;28.6;-23;-4;-10.2;0.61;0.56;0;1.33;0.89;0.44;0
4.0;argentina;28.0;18.0;8.0;4.0;6.0;23.0;20.0;3.0;conmebol;5;13;23;19.2;3;6;5.0;3;5;4.2;7;11;8.8;11;23;18.4;18;36;28.6;-23;-4;-10.2;0.52;0.44;0;1.28;1.11;0.17;0
5.0;uruguai;24.0;18.0;6.0;6.0;6.0;28.0;20.0;8.0;conmebol;5;13;23;19.2;3;6;5.0;3;5;4.2;7;11;8.8;11;23;18.4;18;36;28.6;-23;-4;-10.2;0.44;0.33;1;1.56;1.11;0.44;0
1.0;estados_unidos;20.0;10.0;6.0;2.0;2.0;19.0;13.0;6.0;concacaf;3;6;16;10.0;1;5;2.67;1;3;2.0;4;6;5.33;9;15;11.33;15;22;17.33;-12;0;-6.0;0.67;0.6;0;1.9;1.3;0.6;0
2.0;mexico;19.0;10.0;6.0;1.0;3.0;18.0;12.0;6.0;concacaf;3;6;16;10.0;1;5;2.67;1;3;2.0;4;6;5.33;9;15;11.33;15;22;17.33;-12;0;-6.0;0.63;0.6;0;1.8;1.2;0.6;0
3.0;honduras;16.0;10.0;5.0;1.0;4.0;17.0;11.0;6.0;concacaf;3;6;16;10.0;1;5;2.67;1;3;2.0;4;6;5.33;9;15;11.33;15;22;17.33;-12;0;-6.0;0.53;0.5;0;1.7;1.1;0.6;0
1.0;dinamarca;21.0;10.0;6.0;3.0;1.0;16.0;5.0;11.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.7;0.6;0;1.6;0.5;1.1;0
2.0;portugal;19.0;10.0;5.0;4.0;1.0;17.0;5.0;12.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.63;0.5;0;1.7;0.5;1.2;0
1.0;suica;21.0;10.0;6.0;3.0;1.0;18.0;8.0;10.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.7;0.6;0;1.8;0.8;1.0;0
2.0;grecia;20.0;10.0;6.0;2.0;2.0;20.0;10.0;10.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.67;0.6;0;2.0;1.0;1.0;0
1.0;eslovaquia;22.0;10.0;7.0;1.0;2.0;22.0;10.0;12.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.73;0.7;0;2.2;1.0;1.2;0
2.0;eslovenia;20.0;10.0;6.0;2.0;2.0;18.0;4.0;14.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.67;0.6;0;1.8;0.4;1.4;0
1.0;alemanha;26.0;10.0;8.0;2.0;0.0;26.0;5.0;21.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.87;0.8;0;2.6;0.5;2.1;0
1.0;espanha;30.0;10.0;10.0;0.0;0.0;28.0;5.0;23.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;1.0;1.0;0;2.8;0.5;2.3;0
1.0;inglaterra;27.0;10.0;9.0;0.0;1.0;34.0;6.0;28.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.9;0.9;0;3.4;0.6;2.8;0
1.0;servia;22.0;10.0;7.0;1.0;2.0;22.0;8.0;14.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.73;0.7;0;2.2;0.8;1.4;0
2.0;franca;21.0;10.0;6.0;3.0;1.0;18.0;9.0;9.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.7;0.6;0;1.8;0.9;0.9;0
1.0;italia;24.0;10.0;7.0;3.0;0.0;18.0;7.0;11.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;0.8;0.7;0;1.8;0.7;1.1;0
1.0;holanda;24.0;8.0;8.0;0.0;0.0;17.0;2.0;15.0;uefa;40;0;22;10.68;0;7;2.82;0;6;2.2;0;10;4.78;0;25;11.02;5;47;15.78;-46;15;-4.75;1.0;1.0;0;2.12;0.25;1.88;0
1.0;camaroes;13.0;6.0;4.0;1.0;1.0;9.0;2.0;7.0;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.72;0.67;0;1.5;0.33;1.17;0
1.0;nigeria;12.0;6.0;3.0;3.0;0.0;9.0;4.0;5.0;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.67;0.5;0;1.5;0.67;0.83;0
1.0;argelia;13.0;6.0;4.0;1.0;1.0;9.0;4.0;5.0;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.72;0.67;0;1.5;0.67;0.83;0
1.0;gana;13.0;6.0;4.0;1.0;1.0;9.0;3.0;6.0;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.72;0.67;0;1.5;0.5;1.0;0
1.0;costa_do_marfim;16.0;6.0;5.0;1.0;0.0;19.0;4.0;15.0;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.89;0.83;0;3.17;0.67;2.5;0
1.61;africa_do_sul;20.94;10.19;6.23;2.26;1.71;18.68;7.97;10.71;caf;15;1;13;6.67;0;4;1.8;0;3;1.27;1;5;2.93;1;10;5.27;4;14;7.8;-7;5;-2.53;0.71;0.64;0;1.86;0.73;1.13;1
1.0;australia;20.0;8.0;6.0;2.0;0.0;12.0;1.0;11.0;afc;6;1;12;7.33;0;3;1.67;1;5;2.33;1;7;4.0;5;8;6.33;7;17;10.67;-11;1;-4.33;0.83;0.75;0;1.5;0.12;1.38;0
