selecao;ataque_idade_min;ataque_idade_max;ataque_idade_mean;ataque_score_min;ataque_score_max;ataque_score_mean;defesa_idade_min;defesa_idade_max;defesa_idade_mean;defesa_score_min;defesa_score_max;defesa_score_mean
dinamarca;18;34;26.51;69.5;82.0;74.47;20.0;35.0;27.95;68.5;84.0;74.21
argentina;21;37;26.61;76.5;92.5;82.15;23.0;33.0;28.29;78.0;86.0;81.36
costa_do_marfim;17;35;24.43;61.5;89.0;73.17;20.0;30.0;25.71;62.0;85.5;71.57
camaroes;18;31;25.7;66.0;87.0;73.28;19.0;36.0;25.79;67.0;84.5;74.0
africa_do_sul;19;32;25.44;62.0;81.5;69.87;23.0;38.0;28.32;62.5;77.5;68.32
estados_unidos;19;38;26.08;67.5;83.5;73.25;21.0;40.0;29.79;68.0;84.0;73.69
mexico;20;37;25.7;73.0;85.0;76.53;22.0;36.0;27.26;72.5;83.5;75.98
coreia_do_sul;18;33;25.83;65.5;81.0;72.12;23.0;40.0;28.26;66.0;76.0;69.92
uruguai;20;36;26.83;70.0;87.5;77.55;21.0;34.0;26.95;72.0;83.0;75.39
inglaterra;19;35;27.32;77.5;89.5;82.0;22.0;40.0;27.95;78.5;88.0;81.7
australia;18;34;27.42;64.0;82.5;71.49;21.0;37.0;28.23;65.0;82.0;70.43
brasil;18;36;26.12;80.0;89.0;83.29;22.0;33.0;28.11;79.5;87.5;83.72
servia;18;37;26.92;68.0;86.0;76.28;20.0;34.0;26.17;69.5;88.5;75.15
nigeria;19;35;23.78;64.5;84.0;72.92;19.0;32.0;25.91;69.0;81.0;73.77
suica;18;35;25.62;67.0;82.0;74.94;19.0;33.0;25.76;67.0;83.5;73.48
espanha;20;34;25.97;78.5;90.0;83.33;19.0;38.0;27.77;79.5;90.5;83.57
eslovaquia;17;34;25.73;62.5;85.5;71.36;20.0;36.0;27.11;60.5;82.5;68.24
portugal;22;34;26.78;75.5;91.5;80.02;21.0;35.0;28.26;74.5;86.0;79.79
holanda;18;37;25.86;72.5;88.0;79.14;22.0;39.0;28.67;73.0;86.0;77.78
italia;20;35;28.08;77.5;86.0;82.08;19.0;37.0;28.0;78.5;88.0;81.95
grecia;19;35;25.38;68.5;83.5;75.03;18.0;38.0;26.96;67.5;80.5;74.09
alemanha;20;33;25.68;76.5;86.0;80.91;21.0;37.0;26.91;76.5;87.5;81.09
franca;21;34;26.29;80.5;88.5;83.23;23.0;37.0;28.12;78.0;88.0;82.44
gana;17;34;24.04;61.5;87.0;71.86;20.0;34.0;25.58;67.0;80.0;70.96
eslovenia;18;33;24.52;58.0;81.0;71.23;17.0;32.0;25.11;55.0;78.0;68.71
paraguai;19;32;24.93;55.0;83.5;72.35;21.0;34.0;27.38;66.5;77.5;71.5
chile;21;38;26.68;68.5;83.5;76.74;25.0;31.0;27.89;61.0;79.0;72.0
argelia;18;36;25.92;63.0;80.0;72.22;21.0;31.0;25.5;62.0;75.5;68.69
nova_zelandia;18;36;25.9;55.5;73.0;62.58;20.0;35.0;26.83;53.0;78.5;63.29
japao;21;31;26.36;60.5;84.5;72.73;22.0;32.0;25.33;60.5;74.5;68.25
honduras;17;30;25.12;63.0;79.0;73.0;24.0;28.0;26.25;67.5;75.0;71.62
coreia_do_norte;26;28;27.0;73.5;77.0;75.25;20.9;35.0;27.17;68.56;82.63;74.41
