idade;selecao;score;funcao
25;dinamarca;84.0;defesa
22;dinamarca;82.0;ataque
21;dinamarca;82.5;defesa
34;dinamarca;78.5;defesa
30;dinamarca;78.5;ataque
33;dinamarca;77.5;ataque
27;dinamarca;79.5;ataque
31;dinamarca;79.5;defesa
31;dinamarca;77.0;ataque
30;dinamarca;79.5;ataque
29;dinamarca;75.0;ataque
34;dinamarca;78.5;ataque
20;dinamarca;78.5;defesa
23;dinamarca;77.5;ataque
27;dinamarca;74.5;ataque
25;dinamarca;74.0;ataque
28;dinamarca;76.5;defesa
24;dinamarca;75.0;ataque
25;dinamarca;75.0;defesa
27;dinamarca;75.0;ataque
29;dinamarca;74.5;ataque
25;dinamarca;74.5;ataque
30;dinamarca;73.5;defesa
32;dinamarca;74.5;ataque
32;dinamarca;73.0;defesa
18;dinamarca;79.5;ataque
24;dinamarca;73.5;ataque
26;dinamarca;75.5;ataque
27;dinamarca;73.5;ataque
23;dinamarca;75.0;defesa
24;dinamarca;73.0;defesa
25;dinamarca;74.0;ataque
24;dinamarca;73.0;ataque
33;dinamarca;72.5;ataque
26;dinamarca;72.5;defesa
25;dinamarca;73.0;ataque
35;dinamarca;72.0;defesa
29;dinamarca;72.0;ataque
28;dinamarca;72.0;defesa
29;dinamarca;71.5;ataque
31;dinamarca;71.5;defesa
29;dinamarca;72.0;ataque
25;dinamarca;69.5;defesa
24;dinamarca;72.5;ataque
25;dinamarca;72.0;ataque
28;dinamarca;69.5;ataque
31;dinamarca;71.0;defesa
25;dinamarca;73.5;ataque
28;dinamarca;71.5;ataque
27;dinamarca;70.5;defesa
27;dinamarca;72.5;ataque
28;dinamarca;75.5;ataque
33;dinamarca;70.0;defesa
33;dinamarca;72.0;defesa
23;dinamarca;71.5;ataque
23;dinamarca;71.5;ataque
22;dinamarca;73.5;ataque
22;dinamarca;74.0;ataque
22;dinamarca;70.0;ataque
25;dinamarca;68.5;defesa
24;inglaterra;89.5;ataque
32;inglaterra;87.5;ataque
30;inglaterra;88.5;ataque
29;inglaterra;88.0;defesa
31;inglaterra;87.0;defesa
25;inglaterra;85.0;ataque
29;inglaterra;85.0;defesa
23;inglaterra;83.5;ataque
23;inglaterra;85.0;defesa
26;inglaterra;83.0;ataque
27;inglaterra;82.5;ataque
29;inglaterra;83.5;ataque
32;inglaterra;83.0;defesa
35;inglaterra;85.0;ataque
23;inglaterra;83.0;ataque
21;inglaterra;83.5;ataque
28;inglaterra;83.0;defesa
24;inglaterra;84.0;ataque
29;inglaterra;83.5;ataque
29;inglaterra;83.0;ataque
26;inglaterra;82.5;ataque
26;inglaterra;80.5;defesa
23;inglaterra;81.0;ataque
26;inglaterra;82.5;ataque
28;inglaterra;83.0;ataque
29;inglaterra;81.5;defesa
31;inglaterra;81.0;defesa
28;inglaterra;82.0;ataque
28;inglaterra;83.5;ataque
22;inglaterra;82.0;defesa
24;inglaterra;82.0;defesa
29;inglaterra;80.5;ataque
40;inglaterra;81.5;defesa
22;inglaterra;80.0;defesa
23;inglaterra;80.5;ataque
23;inglaterra;80.0;defesa
25;inglaterra;80.5;ataque
26;inglaterra;79.0;ataque
30;inglaterra;81.0;defesa
28;inglaterra;80.5;ataque
27;inglaterra;78.5;defesa
29;inglaterra;79.5;ataque
30;inglaterra;80.0;defesa
26;inglaterra;81.0;ataque
29;inglaterra;80.5;ataque
30;inglaterra;79.0;defesa
29;inglaterra;79.5;ataque
35;inglaterra;83.0;ataque
33;inglaterra;78.5;ataque
19;inglaterra;81.5;ataque
24;inglaterra;78.5;ataque
22;inglaterra;80.5;ataque
25;inglaterra;80.0;defesa
23;inglaterra;80.0;defesa
31;inglaterra;78.5;defesa
30;inglaterra;77.5;ataque
29;inglaterra;79.0;ataque
33;inglaterra;78.0;ataque
30;inglaterra;81.0;defesa
33;inglaterra;78.5;ataque
27;franca;88.5;ataque
31;franca;87.0;ataque
23;franca;88.0;defesa
23;franca;87.0;ataque
29;franca;85.0;ataque
30;franca;85.0;ataque
22;franca;85.5;ataque
25;franca;85.5;defesa
24;franca;85.5;ataque
26;franca;85.5;defesa
30;franca;85.0;defesa
25;franca;83.5;ataque
27;franca;83.5;defesa
31;franca;83.5;defesa
24;franca;84.0;ataque
25;franca;84.0;ataque
28;franca;82.5;defesa
25;franca;83.5;ataque
28;franca;83.0;defesa
30;franca;82.5;defesa
31;franca;81.5;defesa
33;franca;85.0;ataque
23;franca;81.5;defesa
26;franca;82.5;defesa
30;franca;81.0;defesa
30;franca;81.5;defesa
29;franca;82.5;ataque
27;franca;81.5;ataque
31;franca;82.0;ataque
29;franca;82.0;ataque
33;franca;83.0;defesa
32;franca;83.0;ataque
24;franca;82.0;defesa
24;franca;82.0;ataque
24;franca;80.5;ataque
24;franca;82.5;ataque
23;franca;82.5;ataque
29;franca;80.5;defesa
26;franca;82.5;ataque
28;franca;83.5;defesa
29;franca;80.5;defesa
28;franca;81.5;defesa
31;franca;83.5;defesa
21;franca;82.0;ataque
22;franca;84.5;ataque
23;franca;82.5;ataque
25;franca;80.5;ataque
23;franca;81.0;ataque
24;franca;82.5;ataque
29;franca;78.5;defesa
23;franca;83.0;ataque
26;franca;83.0;ataque
29;franca;81.0;ataque
29;franca;83.0;ataque
32;franca;82.0;ataque
37;franca;80.5;defesa
34;franca;82.5;ataque
22;franca;81.0;ataque
23;franca;82.5;defesa
24;franca;78.0;defesa
26;alemanha;87.0;defesa
24;alemanha;87.5;defesa
26;alemanha;86.0;ataque
25;alemanha;86.0;defesa
33;alemanha;85.0;ataque
21;alemanha;85.5;ataque
25;alemanha;84.0;ataque
25;alemanha;84.0;defesa
28;alemanha;84.5;defesa
32;alemanha;84.0;ataque
22;alemanha;84.0;ataque
25;alemanha;84.0;ataque
26;alemanha;81.5;ataque
27;alemanha;82.0;defesa
28;alemanha;82.0;ataque
33;alemanha;83.5;ataque
20;alemanha;83.0;ataque
20;alemanha;84.0;ataque
23;alemanha;83.0;ataque
30;alemanha;81.5;ataque
30;alemanha;81.0;defesa
37;alemanha;82.0;defesa
21;alemanha;83.5;defesa
26;alemanha;81.0;ataque
24;alemanha;81.0;ataque
26;alemanha;81.0;ataque
28;alemanha;80.5;ataque
29;alemanha;80.0;ataque
31;alemanha;80.5;defesa
31;alemanha;81.5;ataque
36;alemanha;80.5;defesa
22;alemanha;82.0;defesa
23;alemanha;80.5;ataque
23;alemanha;80.5;ataque
29;alemanha;81.5;defesa
21;alemanha;81.5;defesa
21;alemanha;80.0;ataque
23;alemanha;80.0;defesa
23;alemanha;80.0;ataque
30;alemanha;78.0;defesa
32;alemanha;77.5;defesa
21;alemanha;79.0;defesa
21;alemanha;79.5;ataque
23;alemanha;78.5;defesa
26;alemanha;78.5;ataque
27;alemanha;77.5;ataque
30;alemanha;77.0;ataque
28;alemanha;76.5;defesa
29;alemanha;78.5;ataque
28;alemanha;80.0;ataque
31;alemanha;78.0;defesa
30;alemanha;78.5;ataque
21;alemanha;78.0;ataque
22;alemanha;77.0;ataque
21;alemanha;80.0;ataque
25;alemanha;77.5;defesa
24;alemanha;78.0;ataque
26;alemanha;76.5;ataque
24;alemanha;76.5;defesa
27;alemanha;77.5;ataque
25;grecia;81.5;ataque
29;grecia;82.0;ataque
31;grecia;79.5;defesa
31;grecia;81.0;ataque
33;grecia;80.0;ataque
38;grecia;80.5;defesa
20;grecia;83.5;ataque
25;grecia;79.0;defesa
22;grecia;80.5;ataque
22;grecia;79.0;defesa
30;grecia;77.0;ataque
35;grecia;76.5;ataque
28;grecia;78.0;ataque
25;grecia;76.0;ataque
28;grecia;75.5;defesa
25;grecia;76.5;defesa
36;grecia;76.5;defesa
22;grecia;77.5;ataque
23;grecia;75.5;ataque
29;grecia;74.0;defesa
29;grecia;77.5;defesa
25;grecia;75.5;ataque
34;grecia;76.5;defesa
22;grecia;77.0;ataque
24;grecia;75.0;ataque
25;grecia;75.0;ataque
28;grecia;75.5;ataque
32;grecia;77.0;ataque
23;grecia;72.5;ataque
18;grecia;77.5;defesa
26;grecia;73.0;defesa
34;grecia;73.5;ataque
25;grecia;75.0;ataque
30;grecia;73.5;ataque
22;grecia;74.0;defesa
24;grecia;72.5;ataque
19;grecia;74.5;defesa
21;grecia;72.0;ataque
21;grecia;74.5;ataque
26;grecia;70.0;defesa
22;grecia;73.0;ataque
31;grecia;70.5;defesa
29;grecia;72.5;defesa
26;grecia;71.5;defesa
25;grecia;71.5;ataque
19;grecia;73.0;ataque
22;grecia;71.0;defesa
24;grecia;72.5;ataque
23;grecia;71.5;ataque
23;grecia;72.5;ataque
27;grecia;68.5;ataque
19;grecia;72.0;ataque
23;grecia;68.5;defesa
22;grecia;72.5;ataque
31;grecia;69.0;ataque
33;grecia;69.5;defesa
19;grecia;70.0;ataque
23;grecia;69.5;defesa
28;grecia;72.5;ataque
25;grecia;67.5;defesa
32;italia;88.0;defesa
26;italia;87.5;defesa
32;italia;85.0;ataque
28;italia;85.0;ataque
34;italia;86.5;defesa
27;italia;84.5;ataque
31;italia;83.5;ataque
23;italia;84.0;ataque
26;italia;83.5;ataque
31;italia;85.5;ataque
33;italia;86.0;ataque
20;italia;84.0;ataque
28;italia;82.5;ataque
28;italia;81.5;ataque
28;italia;85.0;ataque
24;italia;83.5;ataque
25;italia;84.0;ataque
27;italia;82.0;ataque
27;italia;83.5;defesa
33;italia;84.5;ataque
35;italia;85.0;ataque
28;italia;82.0;ataque
23;italia;82.5;defesa
30;italia;82.0;ataque
28;italia;82.0;ataque
29;italia;81.5;defesa
27;italia;81.5;ataque
30;italia;82.5;ataque
29;italia;83.5;defesa
33;italia;80.0;defesa
33;italia;82.0;defesa
23;italia;82.5;defesa
22;italia;83.0;defesa
23;italia;82.0;ataque
27;italia;79.0;ataque
28;italia;79.0;ataque
28;italia;81.0;ataque
26;italia;83.0;ataque
30;italia;79.0;ataque
29;italia;80.0;ataque
29;italia;80.5;defesa
33;italia;81.5;ataque
30;italia;80.0;ataque
32;italia;81.5;ataque
30;italia;79.0;defesa
34;italia;80.0;ataque
19;italia;82.0;defesa
23;italia;80.5;ataque
24;italia;81.0;ataque
37;italia;81.0;defesa
23;italia;79.5;defesa
25;italia;79.5;defesa
25;italia;80.0;ataque
26;italia;80.0;ataque
26;italia;77.5;ataque
31;italia;78.0;ataque
27;italia;79.5;defesa
27;italia;79.0;defesa
32;italia;78.5;defesa
26;italia;81.0;ataque
26;holanda;88.0;ataque
26;holanda;87.0;ataque
27;holanda;87.5;ataque
27;holanda;87.0;ataque
39;holanda;86.0;defesa
33;holanda;83.0;ataque
27;holanda;84.0;defesa
30;holanda;83.0;ataque
34;holanda;84.5;ataque
23;holanda;83.5;ataque
27;holanda;83.0;ataque
25;holanda;82.0;ataque
26;holanda;81.5;ataque
34;holanda;82.5;ataque
24;holanda;83.5;ataque
30;holanda;80.5;defesa
22;holanda;81.5;defesa
22;holanda;81.0;ataque
23;holanda;80.5;ataque
27;holanda;78.5;ataque
26;holanda;79.5;defesa
22;holanda;79.0;ataque
24;holanda;78.5;ataque
25;holanda;79.0;defesa
25;holanda;79.0;defesa
21;holanda;79.0;ataque
19;holanda;80.5;ataque
23;holanda;78.5;defesa
22;holanda;78.5;ataque
26;holanda;77.0;ataque
29;holanda;76.0;ataque
31;holanda;77.5;ataque
20;holanda;79.5;ataque
24;holanda;78.0;ataque
24;holanda;76.5;defesa
25;holanda;77.0;ataque
31;holanda;75.5;ataque
28;holanda;75.0;defesa
28;holanda;77.0;defesa
30;holanda;74.5;defesa
39;holanda;75.5;defesa
32;holanda;76.0;defesa
37;holanda;76.5;ataque
21;holanda;77.5;ataque
23;holanda;77.0;ataque
36;holanda;75.5;defesa
27;holanda;75.0;defesa
28;holanda;74.5;ataque
27;holanda;76.0;ataque
22;holanda;73.5;ataque
26;holanda;74.0;ataque
26;holanda;74.0;defesa
27;holanda;72.5;ataque
29;holanda;73.0;defesa
31;holanda;74.5;ataque
34;holanda;73.5;ataque
18;holanda;78.0;ataque
20;holanda;74.5;ataque
23;holanda;74.5;ataque
21;holanda;75.5;ataque
25;portugal;91.5;ataque
27;portugal;86.0;defesa
32;portugal;85.5;defesa
23;portugal;86.0;ataque
28;portugal;85.0;defesa
27;portugal;85.0;ataque
30;portugal;84.0;ataque
28;portugal;82.5;ataque
27;portugal;81.5;defesa
23;portugal;83.5;ataque
32;portugal;81.0;ataque
27;portugal;82.0;ataque
26;portugal;84.0;ataque
24;portugal;82.0;ataque
24;portugal;83.5;ataque
25;portugal;81.5;ataque
30;portugal;79.5;ataque
33;portugal;84.5;ataque
32;portugal;81.0;defesa
28;portugal;79.5;ataque
34;portugal;80.5;defesa
22;portugal;81.5;defesa
28;portugal;81.0;defesa
24;portugal;82.0;ataque
22;portugal;82.0;ataque
25;portugal;80.5;defesa
29;portugal;80.5;ataque
33;portugal;78.5;defesa
22;portugal;80.0;defesa
26;portugal;79.0;ataque
25;portugal;79.5;ataque
29;portugal;79.0;defesa
30;portugal;79.0;ataque
24;portugal;79.0;ataque
24;portugal;81.5;ataque
26;portugal;78.0;ataque
31;portugal;78.0;defesa
31;portugal;78.0;ataque
33;portugal;79.0;ataque
28;portugal;78.0;defesa
24;portugal;78.0;defesa
22;portugal;78.5;ataque
23;portugal;78.0;ataque
25;portugal;77.0;defesa
29;portugal;76.0;ataque
27;portugal;77.5;ataque
32;portugal;79.0;ataque
30;portugal;76.0;ataque
34;portugal;77.0;ataque
24;portugal;76.0;ataque
21;portugal;75.0;defesa
22;portugal;77.5;ataque
22;portugal;77.5;ataque
24;portugal;77.0;ataque
34;portugal;74.5;defesa
35;portugal;75.5;defesa
28;portugal;75.5;ataque
33;portugal;76.5;ataque
26;portugal;75.5;ataque
23;portugal;76.0;ataque
23;eslovaquia;85.5;ataque
25;eslovaquia;82.5;defesa
20;eslovaquia;79.5;ataque
26;eslovaquia;79.5;ataque
20;eslovaquia;78.5;ataque
27;eslovaquia;75.5;defesa
30;eslovaquia;75.5;ataque
28;eslovaquia;79.0;ataque
23;eslovaquia;74.5;defesa
23;eslovaquia;76.0;ataque
27;eslovaquia;76.5;ataque
28;eslovaquia;78.0;ataque
28;eslovaquia;75.5;defesa
34;eslovaquia;74.5;ataque
24;eslovaquia;76.0;defesa
25;eslovaquia;75.0;ataque
25;eslovaquia;71.0;defesa
32;eslovaquia;70.5;ataque
27;eslovaquia;71.5;ataque
32;eslovaquia;76.0;ataque
22;eslovaquia;70.0;defesa
29;eslovaquia;71.0;defesa
27;eslovaquia;71.5;defesa
24;eslovaquia;71.0;ataque
25;eslovaquia;70.5;ataque
27;eslovaquia;71.5;ataque
31;eslovaquia;68.5;ataque
23;eslovaquia;71.5;defesa
26;eslovaquia;69.0;ataque
36;eslovaquia;68.0;defesa
20;eslovaquia;71.0;ataque
23;eslovaquia;71.0;ataque
28;eslovaquia;67.0;defesa
33;eslovaquia;68.5;ataque
21;eslovaquia;67.5;ataque
27;eslovaquia;68.0;defesa
30;eslovaquia;67.0;defesa
26;eslovaquia;64.5;defesa
24;eslovaquia;69.5;defesa
27;eslovaquia;64.0;ataque
30;eslovaquia;66.5;defesa
32;eslovaquia;63.0;defesa
29;eslovaquia;64.5;ataque
19;eslovaquia;68.0;ataque
26;eslovaquia;65.0;defesa
31;eslovaquia;63.0;defesa
30;eslovaquia;63.5;defesa
31;eslovaquia;67.0;ataque
22;eslovaquia;66.5;ataque
22;eslovaquia;64.5;defesa
17;eslovaquia;65.5;ataque
20;eslovaquia;66.5;defesa
25;eslovaquia;62.0;defesa
22;eslovaquia;62.5;ataque
26;eslovaquia;64.0;ataque
24;eslovaquia;64.5;ataque
27;eslovaquia;64.5;ataque
27;eslovaquia;63.5;defesa
36;eslovaquia;61.5;defesa
29;eslovaquia;60.5;defesa
31;eslovenia;77.0;ataque
26;eslovenia;78.0;defesa
29;eslovenia;81.0;ataque
33;eslovenia;74.5;ataque
27;eslovenia;72.5;defesa
25;eslovenia;78.0;ataque
28;eslovenia;74.5;defesa
22;eslovenia;78.5;ataque
21;eslovenia;75.0;ataque
24;eslovenia;74.0;ataque
24;eslovenia;76.5;ataque
26;eslovenia;72.0;ataque
25;eslovenia;74.5;ataque
23;eslovenia;72.5;defesa
24;eslovenia;73.5;ataque
26;eslovenia;71.5;ataque
25;eslovenia;72.0;ataque
20;eslovenia;76.5;ataque
27;eslovenia;71.5;defesa
30;eslovenia;68.5;defesa
32;eslovenia;68.5;defesa
27;eslovenia;70.0;defesa
29;eslovenia;70.0;ataque
17;eslovenia;73.5;defesa
29;eslovenia;69.0;ataque
31;eslovenia;70.0;ataque
23;eslovenia;69.5;ataque
20;eslovenia;73.0;ataque
24;eslovenia;67.5;defesa
24;eslovenia;67.5;defesa
22;eslovenia;72.5;defesa
22;eslovenia;73.5;ataque
18;eslovenia;70.5;ataque
25;eslovenia;70.0;ataque
24;eslovenia;68.0;ataque
25;eslovenia;69.0;defesa
20;eslovenia;65.0;ataque
22;eslovenia;66.0;ataque
20;eslovenia;71.5;ataque
22;eslovenia;64.5;defesa
26;eslovenia;64.5;defesa
25;eslovenia;65.0;ataque
27;eslovenia;66.5;ataque
31;eslovenia;65.0;defesa
27;eslovenia;63.0;ataque
23;eslovenia;69.5;defesa
23;eslovenia;61.0;defesa
19;eslovenia;65.0;ataque
24;eslovenia;58.0;ataque
20;eslovenia;55.0;defesa
29;espanha;90.5;defesa
28;espanha;90.0;ataque
32;espanha;88.5;defesa
30;espanha;88.5;ataque
26;espanha;88.5;ataque
23;espanha;88.5;ataque
26;espanha;88.5;ataque
24;espanha;87.5;ataque
24;espanha;88.0;defesa
23;espanha;86.5;defesa
28;espanha;85.5;defesa
28;espanha;86.0;ataque
28;espanha;85.5;defesa
24;espanha;88.0;ataque
24;espanha;85.5;defesa
28;espanha;85.0;defesa
36;espanha;86.5;defesa
23;espanha;84.0;ataque
25;espanha;82.5;ataque
22;espanha;85.0;ataque
25;espanha;83.5;ataque
25;espanha;85.0;ataque
27;espanha;83.0;defesa
27;espanha;83.5;ataque
28;espanha;83.0;ataque
22;espanha;82.5;ataque
25;espanha;83.5;ataque
29;espanha;82.0;defesa
31;espanha;83.0;defesa
33;espanha;83.0;ataque
21;espanha;80.5;ataque
23;espanha;83.0;ataque
25;espanha;80.5;defesa
25;espanha;81.5;ataque
24;espanha;81.5;ataque
25;espanha;83.0;ataque
34;espanha;81.5;ataque
30;espanha;82.0;defesa
29;espanha;83.5;ataque
32;espanha;81.5;ataque
20;espanha;83.5;ataque
22;espanha;83.0;ataque
23;espanha;81.0;ataque
29;espanha;81.5;defesa
30;espanha;80.0;defesa
29;espanha;82.0;ataque
28;espanha;82.0;ataque
29;espanha;80.5;ataque
29;espanha;80.0;ataque
28;espanha;80.0;ataque
30;espanha;81.0;defesa
38;espanha;79.5;defesa
19;espanha;81.5;defesa
21;espanha;81.0;defesa
26;espanha;80.0;ataque
23;espanha;80.5;ataque
25;espanha;80.0;defesa
28;espanha;78.5;ataque
25;espanha;78.5;ataque
25;espanha;82.0;defesa
26;suica;83.5;defesa
22;suica;82.0;ataque
25;suica;81.0;ataque
23;suica;82.0;ataque
31;suica;81.5;defesa
31;suica;79.5;ataque
25;suica;81.0;ataque
26;suica;78.0;ataque
24;suica;78.0;ataque
26;suica;80.0;ataque
23;suica;76.5;ataque
26;suica;76.5;ataque
24;suica;77.5;ataque
25;suica;77.5;defesa
33;suica;76.0;ataque
26;suica;75.5;ataque
29;suica;77.5;defesa
29;suica;75.0;ataque
27;suica;75.5;ataque
35;suica;75.0;ataque
33;suica;75.0;ataque
21;suica;76.0;ataque
26;suica;75.5;defesa
23;suica;76.5;ataque
23;suica;74.5;ataque
29;suica;73.5;defesa
28;suica;76.0;defesa
31;suica;74.0;ataque
32;suica;75.0;ataque
33;suica;72.5;defesa
27;suica;71.0;ataque
27;suica;72.5;ataque
18;suica;76.0;ataque
24;suica;75.5;defesa
22;suica;73.0;defesa
23;suica;72.0;ataque
21;suica;73.5;defesa
22;suica;70.5;defesa
31;suica;72.0;ataque
26;suica;73.5;ataque
18;suica;74.0;ataque
22;suica;73.0;ataque
27;suica;70.5;ataque
30;suica;70.0;defesa
30;suica;71.5;ataque
27;suica;73.0;defesa
29;suica;75.0;ataque
22;suica;71.0;ataque
20;suica;70.5;ataque
30;suica;67.0;ataque
24;suica;69.0;ataque
27;suica;72.0;defesa
26;suica;67.0;defesa
28;suica;68.5;defesa
18;suica;73.0;ataque
19;suica;70.5;defesa
19;suica;71.0;ataque
22;suica;72.5;defesa
21;suica;70.5;defesa
25;suica;69.0;defesa
28;servia;88.5;defesa
25;servia;86.0;ataque
26;servia;83.0;defesa
29;servia;81.5;ataque
31;servia;82.5;ataque
24;servia;82.5;ataque
21;servia;82.5;defesa
31;servia;79.5;ataque
22;servia;81.0;ataque
37;servia;80.0;ataque
27;servia;78.5;ataque
23;servia;80.5;ataque
23;servia;80.0;ataque
26;servia;80.0;ataque
29;servia;78.5;ataque
34;servia;77.5;defesa
27;servia;77.5;defesa
33;servia;76.0;ataque
31;servia;78.0;ataque
27;servia;77.5;ataque
18;servia;79.5;ataque
27;servia;77.0;defesa
23;servia;76.5;defesa
21;servia;76.5;defesa
21;servia;77.5;ataque
27;servia;75.0;ataque
28;servia;74.0;ataque
25;servia;75.0;ataque
22;servia;75.5;defesa
30;servia;73.5;ataque
26;servia;75.0;ataque
29;servia;74.5;defesa
29;servia;77.0;ataque
31;servia;72.5;defesa
29;servia;74.5;ataque
33;servia;73.5;defesa
31;servia;74.5;ataque
22;servia;74.5;defesa
28;servia;73.5;defesa
22;servia;75.5;ataque
30;servia;72.5;defesa
26;servia;72.5;ataque
23;servia;73.0;defesa
31;servia;71.0;ataque
26;servia;73.5;defesa
28;servia;71.0;defesa
26;servia;72.5;ataque
21;servia;73.5;ataque
22;servia;73.5;defesa
29;servia;71.5;defesa
26;servia;71.0;defesa
28;servia;70.0;ataque
28;servia;71.0;ataque
18;servia;76.0;ataque
20;servia;73.5;defesa
28;servia;69.5;ataque
28;servia;69.5;defesa
30;servia;69.0;ataque
24;servia;71.5;defesa
29;servia;68.0;ataque
23;argentina;92.5;ataque
26;argentina;88.0;ataque
31;argentina;86.5;ataque
22;argentina;86.0;ataque
27;argentina;85.5;ataque
32;argentina;86.0;defesa
22;argentina;87.0;ataque
26;argentina;86.0;ataque
30;argentina;85.5;ataque
30;argentina;85.0;ataque
22;argentina;85.5;ataque
29;argentina;84.0;ataque
37;argentina;84.0;ataque
22;argentina;83.5;ataque
25;argentina;84.0;ataque
28;argentina;82.5;ataque
21;argentina;84.0;ataque
23;argentina;82.5;defesa
29;argentina;84.5;defesa
29;argentina;82.5;defesa
35;argentina;83.0;ataque
22;argentina;82.0;ataque
27;argentina;80.0;ataque
23;argentina;82.5;defesa
25;argentina;81.0;ataque
23;argentina;83.5;ataque
31;argentina;82.5;defesa
29;argentina;79.5;defesa
29;argentina;82.0;ataque
29;argentina;80.5;ataque
32;argentina;82.0;ataque
32;argentina;81.0;defesa
22;argentina;80.0;ataque
21;argentina;82.0;ataque
23;argentina;82.0;defesa
24;argentina;79.0;ataque
24;argentina;82.5;ataque
26;argentina;79.5;defesa
32;argentina;79.0;ataque
28;argentina;80.5;ataque
33;argentina;80.0;ataque
33;argentina;80.5;defesa
27;argentina;78.5;ataque
25;argentina;81.0;ataque
26;argentina;79.5;ataque
29;argentina;79.5;ataque
26;argentina;81.0;ataque
30;argentina;79.0;defesa
25;argentina;79.0;ataque
26;argentina;80.5;ataque
29;argentina;79.0;defesa
26;argentina;81.0;ataque
27;argentina;80.0;ataque
36;argentina;81.0;ataque
24;argentina;76.5;ataque
27;argentina;78.0;defesa
26;argentina;79.5;ataque
22;argentina;81.5;ataque
28;argentina;76.5;ataque
24;argentina;77.5;ataque
30;brasil;87.5;defesa
28;brasil;89.0;ataque
29;brasil;87.0;defesa
32;brasil;85.5;defesa
27;brasil;87.0;ataque
29;brasil;85.0;ataque
31;brasil;85.0;defesa
24;brasil;86.0;ataque
20;brasil;87.0;ataque
25;brasil;86.5;defesa
28;brasil;85.5;ataque
28;brasil;83.5;defesa
29;brasil;83.5;defesa
30;brasil;88.0;ataque
20;brasil;85.5;ataque
23;brasil;84.0;ataque
27;brasil;84.0;defesa
25;brasil;84.0;defesa
27;brasil;85.0;ataque
25;brasil;86.0;ataque
29;brasil;83.5;ataque
32;brasil;83.0;ataque
36;brasil;84.0;ataque
23;brasil;84.5;defesa
25;brasil;85.0;ataque
29;brasil;82.0;defesa
32;brasil;83.0;defesa
26;brasil;83.5;ataque
24;brasil;82.5;defesa
22;brasil;82.5;ataque
31;brasil;81.0;ataque
25;brasil;82.0;ataque
31;brasil;82.5;ataque
29;brasil;82.0;ataque
26;brasil;82.5;ataque
26;brasil;83.0;ataque
28;brasil;82.5;ataque
22;brasil;83.0;defesa
27;brasil;82.5;defesa
23;brasil;81.5;ataque
23;brasil;82.0;ataque
23;brasil;82.5;ataque
25;brasil;82.5;ataque
22;brasil;81.0;ataque
22;brasil;82.5;ataque
24;brasil;82.5;ataque
26;brasil;82.0;ataque
30;brasil;80.5;ataque
31;brasil;79.5;defesa
33;brasil;82.0;defesa
29;brasil;81.5;defesa
28;brasil;83.5;ataque
29;brasil;81.5;ataque
33;brasil;81.0;ataque
18;brasil;83.0;ataque
23;brasil;81.0;ataque
27;brasil;81.5;ataque
22;brasil;82.5;ataque
25;brasil;82.0;ataque
27;brasil;80.0;ataque
30;chile;82.5;ataque
21;chile;82.0;ataque
23;chile;81.5;ataque
29;chile;80.5;ataque
26;chile;81.5;ataque
26;chile;83.5;ataque
29;chile;79.5;ataque
24;chile;80.0;ataque
31;chile;79.0;defesa
26;chile;80.0;ataque
30;chile;79.0;ataque
22;chile;77.5;ataque
27;chile;75.5;defesa
26;chile;77.5;ataque
27;chile;76.5;ataque
27;chile;74.5;defesa
29;chile;75.0;ataque
26;chile;75.5;ataque
29;chile;75.0;defesa
30;chile;77.0;ataque
23;chile;75.5;ataque
24;chile;73.5;ataque
29;chile;73.0;defesa
38;chile;76.5;ataque
27;chile;71.5;ataque
23;chile;72.5;ataque
31;chile;69.5;defesa
26;chile;71.5;defesa
31;chile;72.0;ataque
25;chile;69.0;defesa
29;chile;69.0;ataque
23;chile;70.5;ataque
25;chile;68.5;ataque
26;chile;61.0;defesa
27;paraguai;83.5;ataque
25;paraguai;82.5;ataque
29;paraguai;81.5;ataque
26;paraguai;76.0;ataque
27;paraguai;75.5;ataque
33;paraguai;75.0;defesa
31;paraguai;77.5;defesa
30;paraguai;75.5;defesa
24;paraguai;75.0;ataque
22;paraguai;74.0;ataque
22;paraguai;73.5;ataque
34;paraguai;76.0;defesa
26;paraguai;75.0;ataque
30;paraguai;74.5;defesa
23;paraguai;73.0;ataque
28;paraguai;74.0;ataque
32;paraguai;73.0;ataque
31;paraguai;73.0;ataque
28;paraguai;72.5;ataque
21;paraguai;72.0;ataque
28;paraguai;70.5;defesa
19;paraguai;70.5;ataque
23;paraguai;70.5;defesa
30;paraguai;73.0;ataque
23;paraguai;69.5;ataque
28;paraguai;69.5;ataque
27;paraguai;73.5;ataque
26;paraguai;71.5;defesa
21;paraguai;70.0;ataque
21;paraguai;70.5;defesa
29;paraguai;68.5;defesa
28;paraguai;70.5;ataque
23;paraguai;66.5;defesa
24;paraguai;66.5;defesa
24;paraguai;66.5;defesa
22;paraguai;71.0;ataque
