pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
2;gabao;9;6;3;0;3;9;7;2;caf
3;togo;8;6;2;2;2;3;7;-4;caf
4;marrocos;3;6;0;3;3;3;8;-5;caf
2;tunisia;11;6;3;2;1;7;4;3;caf
3;mocambique;7;6;2;1;3;3;5;-2;caf
4;quenia;3;6;1;0;5;5;11;-6;caf
2;egito;13;6;4;1;1;9;4;5;caf
3;zambia;5;6;1;2;3;2;5;-3;caf
4;ruanda;2;6;0;2;4;1;8;-7;caf
2;benin;10;6;3;1;2;6;6;0;caf
3;mali;9;6;2;3;1;8;7;1;caf
4;sudao;1;6;0;1;5;2;9;-7;caf
2;burkina_faso;12;6;4;0;2;10;11;-1;caf
3;malaui;4;6;1;1;4;4;11;-7;caf
4;guine;3;6;1;0;5;7;14;-7;caf
