home_team_name;away_team_name;home_team_win;ano
africa_do_sul;mexico;0;2010
uruguai;franca;0;2010
coreia_do_sul;grecia;1;2010
argentina;nigeria;1;2010
inglaterra;estados_unidos;0;2010
argelia;eslovenia;0;2010
servia;gana;0;2010
alemanha;australia;1;2010
holanda;dinamarca;1;2010
japao;camaroes;1;2010
italia;paraguai;0;2010
nova_zelandia;eslovaquia;0;2010
costa_do_marfim;portugal;0;2010
brasil;coreia_do_norte;1;2010
honduras;chile;0;2010
espanha;suica;0;2010
africa_do_sul;uruguai;0;2010
argentina;coreia_do_sul;1;2010
grecia;nigeria;1;2010
franca;mexico;0;2010
alemanha;servia;0;2010
eslovenia;estados_unidos;0;2010
inglaterra;argelia;0;2010
holanda;japao;1;2010
gana;australia;0;2010
camaroes;dinamarca;0;2010
eslovaquia;paraguai;0;2010
italia;nova_zelandia;0;2010
brasil;costa_do_marfim;1;2010
portugal;coreia_do_norte;1;2010
chile;suica;1;2010
espanha;honduras;1;2010
franca;africa_do_sul;0;2010
mexico;uruguai;0;2010
grecia;argentina;0;2010
nigeria;coreia_do_sul;0;2010
eslovenia;inglaterra;0;2010
estados_unidos;argelia;1;2010
australia;servia;1;2010
gana;alemanha;0;2010
paraguai;nova_zelandia;0;2010
eslovaquia;italia;1;2010
camaroes;holanda;0;2010
dinamarca;japao;0;2010
coreia_do_norte;costa_do_marfim;0;2010
portugal;brasil;0;2010
chile;espanha;0;2010
suica;honduras;0;2010
uruguai;coreia_do_sul;1;2010
estados_unidos;gana;0;2010
alemanha;inglaterra;1;2010
argentina;mexico;1;2010
holanda;eslovaquia;1;2010
brasil;chile;1;2010
paraguai;japao;1;2010
espanha;portugal;1;2010
holanda;brasil;1;2010
uruguai;gana;1;2010
argentina;alemanha;0;2010
paraguai;espanha;0;2010
uruguai;holanda;0;2010
alemanha;espanha;0;2010
uruguai;alemanha;0;2010
holanda;espanha;0;2010
