pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1;dinamarca;21;10;6;3;1;16;5;11;uefa
2;portugal;19;10;5;4;1;17;5;12;uefa
1;suica;21;10;6;3;1;18;8;10;uefa
2;grecia;20;10;6;2;2;20;10;10;uefa
1;eslovaquia;22;10;7;1;2;22;10;12;uefa
2;eslovenia;20;10;6;2;2;18;4;14;uefa
1;alemanha;26;10;8;2;0;26;5;21;uefa
1;espanha;30;10;10;0;0;28;5;23;uefa
1;inglaterra;27;10;9;0;1;34;6;28;uefa
1;servia;22;10;7;1;2;22;8;14;uefa
2;franca;21;10;6;3;1;18;9;9;uefa
1;italia;24;10;7;3;0;18;7;11;uefa
1;holanda;24;8;8;0;0;17;2;15;uefa
