pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
3;suecia;18;10;5;3;2;13;5;8;uefa
4;hungria;16;10;5;1;4;10;8;2;uefa
5;albania;7;10;1;4;5;6;13;-7;uefa
6;malta;1;10;0;1;9;0;26;-26;uefa
3;letonia;17;10;5;2;3;18;15;3;uefa
4;israel;16;10;4;4;2;20;10;10;uefa
5;luxemburgo;5;10;1;2;7;4;25;-21;uefa
6;moldavia;3;10;0;3;7;6;18;-12;uefa
3;republica_tcheca;16;10;4;4;2;17;6;11;uefa
4;irlanda_do_norte;15;10;4;3;3;13;9;4;uefa
5;polonia;11;10;3;2;5;19;14;5;uefa
6;san_marino;0;10;0;0;10;1;47;-46;uefa
2;russia;22;10;7;1;2;19;6;13;uefa
3;finlandia;18;10;5;3;2;14;14;0;uefa
4;pais_de_gales;12;10;4;0;6;9;12;-3;uefa
5;azerbaijao;5;10;1;2;7;4;14;-10;uefa
6;liechtenstein;2;10;0;2;8;2;23;-21;uefa
2;bosnia_e_herzegovina;19;10;6;1;3;25;13;12;uefa
3;turquia;15;10;4;3;3;13;10;3;uefa
4;belgica;10;10;3;1;6;13;20;-7;uefa
5;estonia;8;10;2;2;6;9;24;-15;uefa
6;armenia;4;10;1;1;8;6;22;-16;uefa
2;ucrania;21;10;6;3;1;21;6;15;uefa
3;croacia;20;10;6;2;2;19;13;6;uefa
4;bielorrussia;13;10;4;1;5;19;14;5;uefa
5;cazaquistao;6;10;2;0;8;11;29;-18;uefa
6;andorra;0;10;0;0;10;3;39;-36;uefa
3;austria;14;10;4;2;4;14;15;-1;uefa
4;lituania;12;10;4;0;6;10;11;-1;uefa
5;romenia;12;10;3;3;4;12;18;-6;uefa
6;ilhas_faroe;4;10;1;1;8;5;20;-15;uefa
2;irlanda;18;10;4;6;0;12;8;4;uefa
3;bulgaria;14;10;3;5;2;17;13;4;uefa
4;chipre;9;10;2;3;5;14;16;-2;uefa
5;montenegro;9;10;1;6;3;9;14;-5;uefa
6;georgia;3;10;0;3;7;7;19;-12;uefa
2;noruega;10;8;2;4;2;9;7;2;uefa
3;escocia;10;8;3;1;4;6;11;-5;uefa
4;macedonia_do_norte;7;8;2;1;5;5;11;-6;uefa
5;islandia;5;8;1;2;5;7;13;-6;uefa
