GER-POT;Nome;Posições Preferidas;Idade;ano;page;selecao
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
8286.0;Daniel Agger;ZAGLE;25.0;2010;1;dinamarca
7985.0;Nicklas Bendtner;ATASAPDPE;22.0;2010;1;dinamarca
7887.0;Simon Kjær;ZAGLD;21.0;2010;1;dinamarca
7780.0;Thomas Sørensen;GOL;34.0;2010;1;dinamarca
7780.0;Christian Poulsen;VOLMCLD;30.0;2010;1;dinamarca
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
7778.0;Jesper Grønkjær;MEPEMDPD;33.0;2010;1;dinamarca
7683.0;Thomas Kahlenberg;MEIMDVOLME;27.0;2010;1;dinamarca
7683.0;Per Krøldrup;ZAG;31.0;2010;1;dinamarca
7579.0;Daniel Jensen;MCMEIVOLME;31.0;2010;1;dinamarca
7584.0;Peter Løvenkrands;MAEPESA;30.0;2010;1;dinamarca
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
7476.0;Mads Junker;ATASA;29.0;2010;1;dinamarca
7483.0;Jon Dahl Tomasson;ATASAMEI;34.0;2010;1;dinamarca
7384.0;Mathias Jørgensen;ZAG;20.0;2010;1;dinamarca
7382.0;Thomas Enevoldsen;MEIPEPD;23.0;2010;1;dinamarca
7376.0;Michael Krohn-Dehli;MDPDMEIPE;27.0;2010;1;dinamarca
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
7375.0;Martin Vingaard;MDMCMEMEI;25.0;2010;1;dinamarca
7380.0;Stephan Andersen;GOL;28.0;2010;1;dinamarca
7278.0;Lasse Schöne;MEIMC;24.0;2010;1;dinamarca
7278.0;Kris Stadsgaard;ZAGLBLD;25.0;2010;1;dinamarca
7278.0;Leon Andreasen;VOLMCZAGLD;27.0;2010;1;dinamarca
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
7277.0;Michael Silberbauer;MCMEIMD;29.0;2010;1;dinamarca
7277.0;Morten Rasmussen;ATA;25.0;2010;1;dinamarca
7275.0;Lars Jacobsen;LDZAGLE;30.0;2010;1;dinamarca
7277.0;Dennis Rommedahl;PDMDPEMEI;32.0;2010;1;dinamarca
7274.0;Jesper Christiansen;GOL;32.0;2010;1;dinamarca
;;;;2010;1;dinamarca
;;;;2010;1;dinamarca
7188.0;Christian Eriksen;MEIMCPE;18.0;2010;1;dinamarca
7176.0;Martin Bernburg;ATA;24.0;2010;1;dinamarca
7180.0;Martin Bergvold;MEMC;26.0;2010;1;dinamarca
7176.0;Morten Nordstrand;ATASA;27.0;2010;1;dinamarca
7080.0;Kasper Schmeichel;GOL;23.0;2010;1;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
7076.0;Michael Jakobsen;LEZAG;24.0;2010;2;dinamarca
7078.0;William Kvist;MCMDADDLD;25.0;2010;2;dinamarca
7076.0;Johan Absalonsen;PEMESAMEI;24.0;2010;2;dinamarca
7075.0;Chris Sørensen;LEVOLZAGME;33.0;2010;2;dinamarca
7075.0;Anders Lindegaard;GOL;26.0;2010;2;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
7076.0;Niki Dige Zimling;VOLMCMD;25.0;2010;2;dinamarca
7074.0;Brian Jensen;GOL;35.0;2010;2;dinamarca
7074.0;Hjalte Bo Nørregaard;MCVOL;29.0;2010;2;dinamarca
7074.0;Mikkel Bischoff;ZAGLDLE;28.0;2010;2;dinamarca
7073.0;Patrick Mtiliga;ADELEME;29.0;2010;2;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
7073.0;Bo Svensson;ZAGLDLEVOL;31.0;2010;2;dinamarca
6975.0;Kasper Bøgelund;LDADDZAGMD;29.0;2010;2;dinamarca
6970.0;Kenneth Emil Petersen;ZAGLDLE;25.0;2010;2;dinamarca
6976.0;Leon Jessen;LEADEME;24.0;2010;2;dinamarca
6975.0;Simon Poulsen;ADELEME;25.0;2010;2;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
6970.0;Anders Due;MEPEMAELE;28.0;2010;2;dinamarca
6973.0;Kim Christensen;GOL;31.0;2010;2;dinamarca
6978.0;Mikkel Thygesen;MDPDMEIMC;25.0;2010;2;dinamarca
6974.0;Tommy Bechmann;MADPDMEISA;28.0;2010;2;dinamarca
6972.0;Kristian Bak Nielsen;ZAGVOL;27.0;2010;2;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
6976.0;Jakob Poulsen;MCMDVOL;27.0;2010;2;dinamarca
6982.0;Søren Larsen;ATASA;28.0;2010;2;dinamarca
6971.0;Anders Møller-Christensen;ZAGLD;33.0;2010;2;dinamarca
6975.0;Jimmy Nielsen;GOL;33.0;2010;2;dinamarca
6875.0;Ken Ilsø;SAATAMEIMD;23.0;2010;2;dinamarca
;;;;2010;2;dinamarca
;;;;2010;2;dinamarca
6875.0;Søren Rieks;MEMCMEI;23.0;2010;2;dinamarca
6879.0;Michael Lumb;LEADEME;22.0;2010;2;dinamarca
6880.0;Mike Jensen;VOLMCMDMEI;22.0;2010;2;dinamarca
6872.0;Nicklas Pedersen;ATASAMEI;22.0;2010;2;dinamarca
6869.0;Jim Larsen;ZAG;25.0;2010;2;dinamarca
;;;;2010;3;dinamarca
;;;;2010;3;dinamarca
6876.0;Jeppe Curth;SAMEIME;26.0;2010;3;dinamarca
