key_id;tournament_id;tournament_name;match_id;match_name;stage_name;group_name;group_stage;knockout_stage;replayed;replay;match_date;match_time;stadium_id;stadium_name;city_name;country_name;home_team_id;home_team_name;home_team_code;away_team_id;away_team_name;away_team_code;score;home_team_score;away_team_score;home_team_score_margin;away_team_score_margin;extra_time;penalty_shootout;score_penalties;home_team_score_penalties;away_team_score_penalties;result;home_team_win;away_team_win;draw
709;WC-2010;2010 FIFA World Cup;M-2010-01;South Africa v Mexico;group stage;Group A;1;0;0;0;2010-06-11;16:00;S-123;Soccer City;Johannesburg;South Africa;T-67;South Africa;ZAF;T-44;Mexico;MEX;1–1;1;1;0;0;0;0;0-0;0;0;draw;0;0;1
710;WC-2010;2010 FIFA World Cup;M-2010-02;Uruguay v France;group stage;Group A;1;0;0;0;2010-06-11;20:30;S-120;Cape Town Stadium;Cape Town;South Africa;T-80;Uruguay;URY;T-28;France;FRA;0–0;0;0;0;0;0;0;0-0;0;0;draw;0;0;1
711;WC-2010;2010 FIFA World Cup;M-2010-03;South Korea v Greece;group stage;Group B;1;0;0;0;2010-06-12;13:30;S-126;Nelson Mandela Bay Stadium;Port Elizabeth;South Africa;T-68;South Korea;KOR;T-31;Greece;GRC;2–0;2;0;2;-2;0;0;0-0;0;0;home team win;1;0;0
712;WC-2010;2010 FIFA World Cup;M-2010-04;Argentina v Nigeria;group stage;Group B;1;0;0;0;2010-06-12;16:00;S-122;Ellis Park Stadium;Johannesburg;South Africa;T-03;Argentina;ARG;T-48;Nigeria;NGA;1–0;1;0;1;-1;0;0;0-0;0;0;home team win;1;0;0
713;WC-2010;2010 FIFA World Cup;M-2010-05;England v United States;group stage;Group C;1;0;0;0;2010-06-12;20:30;S-128;Royal Bafokeng Stadium;Rustenburg;South Africa;T-27;England;ENG;T-79;United States;USA;1–1;1;1;0;0;0;0;0-0;0;0;draw;0;0;1
714;WC-2010;2010 FIFA World Cup;M-2010-06;Algeria v Slovenia;group stage;Group C;1;0;0;0;2010-06-13;13:30;S-125;Peter Mokaba Stadium;Polokwane;South Africa;T-01;Algeria;DZA;T-66;Slovenia;SVN;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
715;WC-2010;2010 FIFA World Cup;M-2010-07;Serbia v Ghana;group stage;Group D;1;0;0;0;2010-06-13;16:00;S-127;Loftus Versfeld Stadium;Pretoria;South Africa;T-63;Serbia;SRB;T-30;Ghana;GHA;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
716;WC-2010;2010 FIFA World Cup;M-2010-08;Germany v Australia;group stage;Group D;1;0;0;0;2010-06-13;20:30;S-121;Moses Mabhida Stadium;Durban;South Africa;T-29;Germany;DEU;T-04;Australia;AUS;4–0;4;0;4;-4;0;0;0-0;0;0;home team win;1;0;0
717;WC-2010;2010 FIFA World Cup;M-2010-09;Netherlands v Denmark;group stage;Group E;1;0;0;0;2010-06-14;13:30;S-123;Soccer City;Johannesburg;South Africa;T-46;Netherlands;NLD;T-21;Denmark;DNK;2–0;2;0;2;-2;0;0;0-0;0;0;home team win;1;0;0
718;WC-2010;2010 FIFA World Cup;M-2010-10;Japan v Cameroon;group stage;Group E;1;0;0;0;2010-06-14;16:00;S-119;Free State Stadium;Bloemfontein;South Africa;T-42;Japan;JPN;T-11;Cameroon;CMR;1–0;1;0;1;-1;0;0;0-0;0;0;home team win;1;0;0
719;WC-2010;2010 FIFA World Cup;M-2010-11;Italy v Paraguay;group stage;Group F;1;0;0;0;2010-06-14;20:30;S-120;Cape Town Stadium;Cape Town;South Africa;T-39;Italy;ITA;T-53;Paraguay;PRY;1–1;1;1;0;0;0;0;0-0;0;0;draw;0;0;1
720;WC-2010;2010 FIFA World Cup;M-2010-12;New Zealand v Slovakia;group stage;Group F;1;0;0;0;2010-06-15;13:30;S-128;Royal Bafokeng Stadium;Rustenburg;South Africa;T-47;New Zealand;NZL;T-65;Slovakia;SVK;1–1;1;1;0;0;0;0;0-0;0;0;draw;0;0;1
721;WC-2010;2010 FIFA World Cup;M-2010-13;Ivory Coast v Portugal;group stage;Group G;1;0;0;0;2010-06-15;16:00;S-126;Nelson Mandela Bay Stadium;Port Elizabeth;South Africa;T-40;Ivory Coast;CIV;T-56;Portugal;PRT;0–0;0;0;0;0;0;0;0-0;0;0;draw;0;0;1
722;WC-2010;2010 FIFA World Cup;M-2010-14;Brazil v North Korea;group stage;Group G;1;0;0;0;2010-06-15;20:30;S-122;Ellis Park Stadium;Johannesburg;South Africa;T-09;Brazil;BRA;T-49;North Korea;PRK;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
723;WC-2010;2010 FIFA World Cup;M-2010-15;Honduras v Chile;group stage;Group H;1;0;0;0;2010-06-16;13:30;S-124;Mbombela Stadium;Nelspruit;South Africa;T-33;Honduras;HND;T-13;Chile;CHL;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
724;WC-2010;2010 FIFA World Cup;M-2010-16;Spain v Switzerland;group stage;Group H;1;0;0;0;2010-06-16;16:00;S-121;Moses Mabhida Stadium;Durban;South Africa;T-70;Spain;ESP;T-72;Switzerland;CHE;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
725;WC-2010;2010 FIFA World Cup;M-2010-17;South Africa v Uruguay;group stage;Group A;1;0;0;0;2010-06-16;20:30;S-127;Loftus Versfeld Stadium;Pretoria;South Africa;T-67;South Africa;ZAF;T-80;Uruguay;URY;0–3;0;3;-3;3;0;0;0-0;0;0;away team win;0;1;0
726;WC-2010;2010 FIFA World Cup;M-2010-18;Argentina v South Korea;group stage;Group B;1;0;0;0;2010-06-17;13:30;S-123;Soccer City;Johannesburg;South Africa;T-03;Argentina;ARG;T-68;South Korea;KOR;4–1;4;1;3;-3;0;0;0-0;0;0;home team win;1;0;0
727;WC-2010;2010 FIFA World Cup;M-2010-19;Greece v Nigeria;group stage;Group B;1;0;0;0;2010-06-17;16:00;S-119;Free State Stadium;Bloemfontein;South Africa;T-31;Greece;GRC;T-48;Nigeria;NGA;2–1;2;1;1;-1;0;0;0-0;0;0;home team win;1;0;0
728;WC-2010;2010 FIFA World Cup;M-2010-20;France v Mexico;group stage;Group A;1;0;0;0;2010-06-17;20:30;S-125;Peter Mokaba Stadium;Polokwane;South Africa;T-28;France;FRA;T-44;Mexico;MEX;0–2;0;2;-2;2;0;0;0-0;0;0;away team win;0;1;0
729;WC-2010;2010 FIFA World Cup;M-2010-21;Germany v Serbia;group stage;Group D;1;0;0;0;2010-06-18;13:30;S-126;Nelson Mandela Bay Stadium;Port Elizabeth;South Africa;T-29;Germany;DEU;T-63;Serbia;SRB;0–1;0;1;-1;1;0;0;0-0;0;0;away team win;0;1;0
730;WC-2010;2010 FIFA World Cup;M-2010-22;Slovenia v United States;group stage;Group C;1;0;0;0;2010-06-18;16:00;S-122;Ellis Park Stadium;Johannesburg;South Africa;T-66;Slovenia;SVN;T-79;United States;USA;2–2;2;2;0;0;0;0;0-0;0;0;draw;0;0;1
731;WC-2010;2010 FIFA World Cup;M-2010-23;England v Algeria;group stage;Group C;1;0;0;0;2010-06-18;20:30;S-120;Cape Town Stadium;Cape Town;South Africa;T-27;England;ENG;T-01;Algeria;DZA;0–0;0;0;0;0;0;0;0-0;0;0;draw;0;0;1
