selecao;ataque_idade_min;ataque_idade_max;ataque_idade_mean;ataque_score_min;ataque_score_max;ataque_score_mean;defesa_idade_min;defesa_idade_max;defesa_idade_mean;defesa_score_min;defesa_score_max;defesa_score_mean
belgica;20;35;27.24;73.0;91.0;78.15;22;35;29.06;74.0;90.5;78.86
brasil;21;31;26.1;79.0;89.0;82.28;22;38;28.73;79.0;90.0;82.75
arabia_saudita;21;34;27.84;65.0;77.0;68.32;22;37;28.76;65.0;73.5;68.17
coreia_do_sul;21;34;27.97;68.0;77.5;71.97;25;39;30.41;68.0;81.5;71.13
japao;21;35;26.27;65.0;81.0;72.64;22;39;28.0;66.0;82.0;71.69
senegal;20;36;26.29;69.0;89.0;74.43;20;34;28.21;68.0;87.0;73.37
marrocos;20;35;26.85;68.0;83.0;74.16;22;35;28.37;69.0;84.0;74.03
gana;19;35;26.52;68.0;84.0;73.29;19;34;26.5;69.5;81.0;73.1
camaroes;22;34;26.61;64.5;82.0;72.26;20;32;25.67;63.5;84.0;70.83
estados_unidos;19;35;25.57;70.0;85.0;74.99;19;36;27.57;70.0;78.5;74.15
canada;19;39;25.02;61.0;86.5;69.31;22;35;27.0;60.0;77.0;69.44
croacia;20;37;27.62;71.0;88.0;77.34;20;33;25.74;71.0;85.0;76.0
equador;19;36;26.95;67.0;81.5;70.82;20;33;26.5;67.0;81.5;71.47
uruguai;19;36;27.43;72.0;87.0;76.76;23;39;31.0;72.0;86.0;76.5
argentina;21;37;27.86;77.0;88.0;80.12;24;36;29.57;77.0;85.5;80.59
polonia;20;35;26.94;69.0;91.0;74.52;22;37;28.21;70.0;86.0;74.84
dinamarca;21;36;26.87;72.0;84.0;76.1;21;37;28.38;72.0;84.0;76.1
inglaterra;21;40;26.66;78.0;89.0;83.02;22;33;27.48;78.0;88.5;81.42
franca;19;36;27.11;79.0;93.0;82.46;21;37;25.96;79.0;88.5;83.17
alemanha;19;34;27.68;77.0;87.5;81.21;22;34;29.23;77.0;89.5;81.41
servia;21;37;27.58;69.0;87.5;75.64;21;39;28.15;69.0;82.5;73.94
holanda;20;34;26.32;75.0;89.5;80.31;21;34;26.69;75.0;90.0;79.88
portugal;22;37;27.05;76.0;90.0;81.08;20;39;28.52;76.0;89.5;81.0
espanha;22;36;28.27;80.0;86.0;83.17;25;37;30.33;80.0;88.0;82.76
suica;22;38;27.79;70.0;83.5;74.7;23;35;28.3;70.0;85.5;75.48
pais_de_gales;20;33;26.49;65.0;81.0;71.04;21;35;28.38;65.0;79.0;71.43
australia;22;35;27.85;67.0;76.0;70.12;23;38;29.62;67.0;78.0;69.81
mexico;18;32;24.81;61.5;83.5;73.53;18;40;27.33;61.5;80.0;72.21
tunisia;19;35;26.41;63.5;79.5;70.23;20;32;25.09;62.5;72.5;68.59
qatar;23;32;27.8;62.0;77.0;68.4;23;32;26.87;63.0;71.5;67.93
costa_rica;20;31;27.0;63.0;72.5;67.69;22;35;29.62;62.0;88.0;70.5
ira;21;32;27.62;64.0;81.0;72.23;26;35;29.6;61.0;73.5;68.0
