GER-POT;Nome;Posições Preferidas;Idade;ano;page;selecao
;;;;2006;1;croacia
;;;;2006;1;croacia
8487.0;Ivica Olic;CAV;26.0;2006;1;croacia
8386.0;Igor Tudor;ZC;28.0;2006;1;croacia
8287.0;Dado Prso;CAV;31.0;2006;1;croacia
8283.0;Josip Simunic;ZC;28.0;2006;1;croacia
8287.0;Ivan Klasnic;CAV;26.0;2006;1;croacia
;;;;2006;1;croacia
;;;;2006;1;croacia
8183.0;Mladen Petric;CF;25.0;2006;1;croacia
8081.0;Boško Balaban;CAV;27.0;2006;1;croacia
7981.0;Dario Srna;MD;24.0;2006;1;croacia
7887.0;Robert Kovac;ZC;32.0;2006;1;croacia
7779.0;Sasa Bjelanovic;CAV;27.0;2006;1;croacia
;;;;2006;1;croacia
;;;;2006;1;croacia
7778.0;Igor Budan;CAV;26.0;2006;1;croacia
7786.0;Marko Babic;ME;25.0;2006;1;croacia
7677.0;Stipe Pletikosa;GOL;27.0;2006;1;croacia
7577.0;Stjepan Tomas;ZC;30.0;2006;1;croacia
7584.0;Tomislav Butina;GOL;32.0;2006;1;croacia
;;;;2006;1;croacia
;;;;2006;1;croacia
7576.0;Igor Biscan;CAB;28.0;2006;1;croacia
7576.0;Ivan Leko;MC;28.0;2006;1;croacia
7474.0;Milan Rapaic;AEC;33.0;2006;1;croacia
7479.0;Joey Didulica;GOL;28.0;2006;1;croacia
7476.0;Vedran Runje;GOL;30.0;2006;1;croacia
;;;;2006;1;croacia
;;;;2006;1;croacia
7384.0;Niko Kranjcar;VOL;22.0;2006;1;croacia
7383.0;Jerko Leko;CAB;26.0;2006;1;croacia
7374.0;Mate Bilic;CAV;25.0;2006;1;croacia
7383.0;Boris Zivkovic;ZC;30.0;2006;1;croacia
7383.0;Niko Kovac;CAB;34.0;2006;1;croacia
;;;;2006;1;croacia
;;;;2006;1;croacia
7273.0;Ivan Bosnjak;CAV;27.0;2006;1;croacia
7273.0;Goran Sablic;ZC;26.0;2006;1;croacia
7277.0;Ivica Banovic;MC;26.0;2006;1;croacia
7071.0;Dario Smoje;ZC;27.0;2006;1;croacia
7075.0;Anthony Seric;AER;26.0;2006;1;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
7072.0;Jurica Vranjes;CAB;26.0;2006;2;croacia
6975.0;Hrvoje Cale;ZE;21.0;2006;2;croacia
6982.0;Ivo Ilicevic;VOL;19.0;2006;2;croacia
6976.0;Danijel Pranjic;ME;24.0;2006;2;croacia
6973.0;Dario Simic;ZD;30.0;2006;2;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
6972.0;Ivica Mornar;ADC;32.0;2006;2;croacia
6877.0;Srdjan Lakic;CAV;22.0;2006;2;croacia
6772.0;Eduardo;CAV;23.0;2006;2;croacia
6678.0;Marijan Buljat;ZC;24.0;2006;2;croacia
6569.0;Hrvoje Vukovic;ZC;27.0;2006;2;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
6567.0;Neretljak;ZC;27.0;2006;2;croacia
6565.0;Igjnac Kresic;GOL;39.0;2006;2;croacia
6566.0;Mario Bazina;MC;30.0;2006;2;croacia
6564.0;Mario Tokic;ZC;31.0;2006;2;croacia
6573.0;Ahmet Brkovic;MD;31.0;2006;2;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
6468.0;Srebrenko Posavec;MC;23.0;2006;2;croacia
6481.0;Leon Benko;AE;22.0;2006;2;croacia
6467.0;Andrej Mijatovic;ZC;26.0;2006;2;croacia
6472.0;Zeljko Pavlovic;GOL;35.0;2006;2;croacia
6471.0;Danijel Stefulj;ZC;33.0;2006;2;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
6366.0;Toni Golem;ZC;24.0;2006;2;croacia
6368.0;Tomislav Mikulic;ZE;24.0;2006;2;croacia
6365.0;Ivan Rajcic;MC;25.0;2006;2;croacia
6365.0;Adnan Mravac;ZC;24.0;2006;2;croacia
6265.0;Mladen Pelaić;ADR;23.0;2006;2;croacia
;;;;2006;2;croacia
;;;;2006;2;croacia
6284.0;Luka Modric;MC;20.0;2006;2;croacia
6065.0;Dusko Djurisic;ZC;28.0;2006;2;croacia
6063.0;Zvominir Deranja;CAV;26.0;2006;2;croacia
6067.0;Stiven Rivic;CAV;22.0;2006;2;croacia
6063.0;Srdan Andric;MC;26.0;2006;2;croacia
;;;;2006;3;croacia
;;;;2006;3;croacia
5972.0;Marko Sucic;VOL;21.0;2006;3;croacia
5858.0;Ivan Božić;CAV;22.0;2006;3;croacia
5758.0;Vedran Jese;ZC;25.0;2006;3;croacia
5759.0;Lek Kćira;ZC;23.0;2006;3;croacia
5769.0;Lovre Vulin;ZC;21.0;2006;3;croacia
;;;;2006;3;croacia
;;;;2006;3;croacia
5762.0;Goran Mujanovic;MD;22.0;2006;3;croacia
5657.0;Ivan Milas;ZC;31.0;2006;3;croacia
5668.0;Zdenko Miletic;GOL;38.0;2006;3;croacia
5562.0;Kristijan Polovanec;ZC;26.0;2006;3;croacia
5468.0;Davorin Kablar;ZC;28.0;2006;3;croacia
;;;;2006;3;croacia
;;;;2006;3;croacia
5380.0;Dario Mijatovic;ZC;22.0;2006;3;croacia
4747.0;Ivan Juric;ME;31.0;2006;3;croacia
;;;;2006;1;republica_tcheca
;;;;2006;1;republica_tcheca
8992.0;Petr Cech;GOL;24.0;2006;1;republica_tcheca
8791.0;Pavel Nedved;VOL;33.0;2006;1;republica_tcheca
8591.0;Tomás Rosicky;VOL;25.0;2006;1;republica_tcheca
8386.0;Jan Koller;CAV;33.0;2006;1;republica_tcheca
8286.0;Tomas Ujfalusi;ZC;28.0;2006;1;republica_tcheca
;;;;2006;1;republica_tcheca
;;;;2006;1;republica_tcheca
8182.0;David Rozehnal;ZC;26.0;2006;1;republica_tcheca
8189.0;Tomás Galásek;MC;33.0;2006;1;republica_tcheca
8181.0;Zdenek Grygera;ZC;26.0;2006;1;republica_tcheca
8084.0;Milan Baros;CAV;24.0;2006;1;republica_tcheca
8081.0;Marek Jankulovski;ME;29.0;2006;1;republica_tcheca
;;;;2006;1;republica_tcheca
