pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1;servia;20;8;6;2;0;18;9;9;uefa
2;portugal;17;8;5;2;1;17;6;11;uefa
1;espanha;19;8;6;1;1;15;5;10;uefa
1;suica;18;8;5;3;0;15;2;13;uefa
1;franca;18;8;5;3;0;18;3;15;uefa
1;belgica;20;8;6;2;0;25;6;19;uefa
2;pais_de_gales;15;8;4;3;1;14;9;5;uefa
1;dinamarca;27;10;9;0;1;30;3;27;uefa
1;holanda;23;10;7;2;1;33;8;25;uefa
1;croacia;23;10;7;2;1;21;4;17;uefa
1;inglaterra;26;10;8;2;0;39;3;36;uefa
2;polonia;20;10;6;2;2;30;11;19;uefa
1;alemanha;27;10;9;0;1;36;4;32;uefa
