pos_elim;selecao;pts;j;v;e;d;gp;gc;sg;conf_cont
1;argelia;14;6;4;2;0;25;4;21;caf
2;burquina_fasso;12;6;3;3;0;12;4;8;caf
3;niger;7;6;2;1;2;13;17;-4;caf
4;djibouti;0;6;0;0;6;4;29;-25;caf
2;guine_equatorial;11;6;3;2;1;6;5;1;caf
3;zambia;7;6;2;1;3;8;9;-1;caf
4;mauritania;2;6;0;2;4;2;11;-9;caf
1;nigeria;13;6;4;1;1;9;3;6;caf
2;cabo_verde;11;6;3;2;1;8;5;2;caf
3;liberia;6;6;2;0;4;5;8;-3;caf
4;republica_centro-africana;4;6;1;1;4;4;9;-5;caf
2;costa_do_marfim;13;6;4;1;1;10;1;7;caf
3;mocambique;4;6;1;1;4;2;8;-6;caf
4;malawi;3;6;1;0;5;2;12;-10;caf
1;mali;16;6;5;1;0;11;0;11;caf
2;uganda;9;6;2;3;1;3;2;1;caf
3;quenia;6;6;1;3;2;4;9;-5;caf
4;ruanda;1;6;0;1;5;2;9;-7;caf
1;egito;14;6;4;2;0;10;4;6;caf
2;gabao;7;6;2;1;3;7;8;-1;caf
3;libia;7;6;2;1;3;4;7;-3;caf
4;angola;5;6;1;2;3;6;8;-2;caf
2;africa_do_sul;13;6;4;1;0;6;2;4;caf
3;etiopia;5;6;1;2;3;4;7;-3;caf
4;zimbabwe;2;6;0;2;4;2;7;-5;caf
2;togo;8;6;2;2;2;5;6;-1;caf
3;namibia;5;6;1;2;3;5;10;-5;caf
4;congo;3;6;0;3;3;5;10;-5;caf
2;guine-bissau;6;6;1;3;2;5;11;-6;caf
3;guine;4;6;0;4;2;5;11;-6;caf
4;sudao;3;6;0;3;3;5;12;-7;caf
1;rd_congo;11;6;3;2;1;9;3;6;caf
2;benim;10;6;3;1;2;5;4;1;caf
3;tanzania;8;6;2;2;2;6;8;-2;caf
4;madagascar;4;6;1;1;4;4;9;-5;caf
