idade;selecao;score;funcao
31;belgica;91.0;ataque
30;belgica;90.5;defesa
29;belgica;86.0;ataque
29;belgica;85.0;ataque
25;belgica;85.0;ataque
30;belgica;84.5;defesa
31;belgica;84.0;ataque
35;belgica;84.0;ataque
33;belgica;82.0;defesa
35;belgica;81.0;defesa
29;belgica;80.0;ataque
30;belgica;80.0;ataque
34;belgica;80.0;defesa
27;belgica;79.0;ataque
30;belgica;79.5;defesa
33;belgica;79.0;ataque
21;belgica;83.0;ataque
23;belgica;80.0;ataque
26;belgica;79.0;defesa
31;belgica;78.0;ataque
28;belgica;78.0;ataque
29;belgica;78.0;ataque
24;belgica;79.5;defesa
27;belgica;78.0;defesa
29;belgica;77.0;ataque
27;belgica;76.5;ataque
27;belgica;76.5;ataque
29;belgica;76.5;defesa
29;belgica;77.0;defesa
31;belgica;76.0;defesa
34;belgica;76.0;ataque
22;belgica;78.5;defesa
20;belgica;80.0;ataque
22;belgica;79.0;ataque
23;belgica;78.0;defesa
23;belgica;79.0;ataque
24;belgica;77.5;ataque
27;belgica;75.5;ataque
28;belgica;75.5;defesa
33;belgica;75.0;ataque
34;belgica;75.0;ataque
33;belgica;75.0;defesa
33;belgica;75.0;ataque
21;belgica;79.0;ataque
24;belgica;76.0;ataque
25;belgica;75.0;ataque
25;belgica;76.0;ataque
25;belgica;76.5;ataque
28;belgica;74.0;ataque
28;belgica;74.0;ataque
28;belgica;75.0;defesa
31;belgica;74.0;defesa
31;belgica;74.0;ataque
21;belgica;75.5;ataque
20;belgica;78.5;ataque
21;belgica;78.0;ataque
25;belgica;74.5;ataque
28;belgica;73.5;ataque
30;belgica;73.0;ataque
28;belgica;73.0;ataque
37;croacia;88.0;ataque
29;croacia;86.0;ataque
28;croacia;84.0;ataque
33;croacia;84.0;ataque
31;croacia;82.0;ataque
34;croacia;82.0;ataque
20;croacia;85.0;defesa
27;croacia;81.0;ataque
24;croacia;82.5;ataque
27;croacia;81.5;defesa
29;croacia;80.0;ataque
24;croacia;82.0;ataque
30;croacia;79.0;ataque
24;croacia;80.5;ataque
25;croacia;80.5;ataque
26;croacia;80.0;defesa
33;croacia;78.0;defesa
29;croacia;77.0;ataque
29;croacia;77.0;ataque
25;croacia;77.5;ataque
33;croacia;76.0;defesa
31;croacia;76.0;ataque
27;croacia;76.5;defesa
22;croacia;79.5;defesa
23;croacia;78.5;ataque
25;croacia;77.5;ataque
27;croacia;75.5;ataque
32;croacia;75.0;defesa
28;croacia;75.5;ataque
26;croacia;76.0;defesa
24;croacia;77.5;ataque
24;croacia;76.5;defesa
25;croacia;76.0;defesa
34;croacia;74.0;ataque
20;croacia;78.5;ataque
22;croacia;76.0;ataque
29;croacia;73.0;defesa
27;croacia;74.0;ataque
33;croacia;73.0;ataque
20;croacia;77.5;defesa
22;croacia;75.5;defesa
22;croacia;75.5;defesa
27;croacia;72.5;ataque
22;croacia;76.5;defesa
31;croacia;72.0;ataque
27;croacia;72.5;ataque
29;croacia;72.0;ataque
31;croacia;72.0;ataque
26;croacia;72.0;ataque
26;croacia;71.5;ataque
22;croacia;74.5;defesa
31;croacia;71.0;defesa
25;croacia;73.5;defesa
25;croacia;73.0;defesa
27;croacia;73.0;defesa
28;croacia;71.0;ataque
28;croacia;71.5;defesa
23;croacia;72.5;ataque
24;croacia;73.5;defesa
22;croacia;74.5;ataque
27;dinamarca;84.0;ataque
35;dinamarca;83.0;defesa
26;dinamarca;84.0;defesa
30;dinamarca;82.0;ataque
33;dinamarca;82.0;defesa
31;dinamarca;81.0;ataque
33;dinamarca;79.0;ataque
24;dinamarca;80.0;ataque
25;dinamarca;79.5;defesa
25;dinamarca;79.0;ataque
26;dinamarca;78.5;defesa
28;dinamarca;77.0;ataque
23;dinamarca;79.0;ataque
22;dinamarca;80.5;ataque
22;dinamarca;79.5;ataque
25;dinamarca;77.5;ataque
28;dinamarca;76.0;ataque
28;dinamarca;76.0;ataque
30;dinamarca;76.0;ataque
31;dinamarca;76.0;defesa
31;dinamarca;76.0;ataque
22;dinamarca;79.5;ataque
24;dinamarca;78.0;defesa
26;dinamarca;76.5;ataque
30;dinamarca;75.0;defesa
29;dinamarca;75.0;ataque
30;dinamarca;75.0;defesa
32;dinamarca;75.0;ataque
31;dinamarca;75.0;defesa
24;dinamarca;77.0;ataque
25;dinamarca;76.0;defesa
26;dinamarca;75.5;ataque
26;dinamarca;74.5;ataque
29;dinamarca;74.0;ataque
36;dinamarca;74.0;ataque
26;dinamarca;74.5;ataque
23;dinamarca;77.0;ataque
25;dinamarca;75.5;defesa
24;dinamarca;75.5;ataque
26;dinamarca;74.0;defesa
26;dinamarca;73.5;ataque
28;dinamarca;73.5;ataque
28;dinamarca;73.5;defesa
32;dinamarca;73.0;ataque
30;dinamarca;73.0;defesa
21;dinamarca;76.5;ataque
25;dinamarca;73.0;ataque
28;dinamarca;72.0;ataque
27;dinamarca;72.5;ataque
29;dinamarca;72.0;ataque
27;dinamarca;72.5;defesa
31;dinamarca;72.0;defesa
28;dinamarca;72.0;ataque
28;dinamarca;72.0;ataque
33;dinamarca;72.0;defesa
37;dinamarca;72.0;defesa
22;dinamarca;74.0;ataque
21;dinamarca;76.0;defesa
22;dinamarca;75.5;defesa
24;dinamarca;73.5;ataque
29;inglaterra;89.0;ataque
24;inglaterra;88.5;defesa
27;inglaterra;86.0;ataque
22;inglaterra;88.5;ataque
35;inglaterra;85.0;ataque
