home_team_name;away_team_name;home_team_win;ano
alemanha;costa_rica;1;2006
polonia;equador;0;2006
inglaterra;paraguai;1;2006
trindade_e_tobago;suecia;0;2006
argentina;costa_do_marfim;1;2006
servia;holanda;0;2006
mexico;ira;1;2006
angola;portugal;0;2006
australia;japao;1;2006
estados_unidos;republica_tcheca;0;2006
italia;gana;1;2006
coreia_do_sul;togo;1;2006
franca;suica;0;2006
brasil;croacia;1;2006
espanha;ucrania;1;2006
tunisia;arabia_saudita;0;2006
alemanha;polonia;1;2006
equador;costa_rica;1;2006
inglaterra;trindade_e_tobago;1;2006
suecia;paraguai;1;2006
argentina;servia;1;2006
holanda;costa_do_marfim;1;2006
mexico;angola;0;2006
portugal;ira;1;2006
republica_tcheca;gana;0;2006
italia;estados_unidos;0;2006
japao;croacia;0;2006
brasil;australia;1;2006
franca;coreia_do_sul;0;2006
togo;suica;0;2006
arabia_saudita;ucrania;0;2006
espanha;tunisia;1;2006
costa_rica;polonia;0;2006
equador;alemanha;0;2006
paraguai;trindade_e_tobago;1;2006
suecia;inglaterra;0;2006
ira;angola;0;2006
portugal;mexico;1;2006
costa_do_marfim;servia;1;2006
holanda;argentina;0;2006
republica_tcheca;italia;0;2006
gana;estados_unidos;1;2006
croacia;australia;0;2006
japao;brasil;0;2006
arabia_saudita;espanha;0;2006
ucrania;tunisia;1;2006
suica;coreia_do_sul;1;2006
togo;franca;0;2006
alemanha;suecia;1;2006
argentina;mexico;1;2006
inglaterra;equador;1;2006
portugal;holanda;1;2006
italia;australia;1;2006
suica;ucrania;0;2006
brasil;gana;1;2006
espanha;franca;0;2006
alemanha;argentina;1;2006
italia;ucrania;1;2006
inglaterra;portugal;0;2006
brasil;franca;0;2006
alemanha;italia;0;2006
portugal;franca;0;2006
alemanha;portugal;1;2006
italia;franca;1;2006
