selecao;ataque_idade_min;ataque_idade_max;ataque_idade_mean;ataque_score_min;ataque_score_max;ataque_score_mean;defesa_idade_min;defesa_idade_max;defesa_idade_mean;defesa_score_min;defesa_score_max;defesa_score_mean
croacia;20.0;33.0;25.9;61.5;85.5;73.16;19.0;39.0;27.94;62.5;84.5;72.44
suecia;20.0;34.0;27.29;66.5;88.5;73.62;21.0;40.0;27.12;66.5;86.0;73.7
coreia_do_sul;20.0;32.0;26.22;68.0;81.5;73.5;20.0;36.0;27.24;67.5;83.5;72.95
costa_do_marfim;19.0;29.0;23.44;47.0;88.5;69.14;20.0;31.0;24.54;55.0;85.0;71.73
estados_unidos;21.0;36.0;27.48;67.0;82.5;73.5;17.0;36.0;28.07;65.5;85.5;74.19
mexico;19.0;33.0;26.93;71.5;82.0;76.54;21.0;37.0;27.66;71.0;87.0;76.53
republica_tcheca;21.0;33.0;27.69;66.0;85.0;74.9;24.0;36.0;28.76;67.0;90.5;75.71
argentina;19.0;33.0;26.45;77.0;89.5;82.06;21.0;34.0;27.04;77.5;90.0;82.35
servia;21.0;34.0;26.7;67.0;87.5;76.02;17.0;34.0;26.88;66.0;85.5;74.02
suica;18.0;35.0;25.92;65.5;85.5;75.21;19.0;35.0;25.28;63.5;86.0;72.65
brasil;20.0;35.0;27.0;81.0;90.0;84.46;21.0;36.0;28.44;80.5;93.0;85.88
espanha;19.0;32.0;26.42;78.5;90.5;83.56;20.0;37.0;27.81;79.0;90.5;83.8
italia;24.0;36.0;29.09;79.5;89.5;83.3;22.0;38.0;29.74;80.0;92.5;84.26
inglaterra;19.0;34.0;25.15;77.0;92.5;82.63;20.0;36.0;26.62;77.5;90.0;83.29
franca;23.0;33.0;28.3;79.0;91.5;84.12;21.0;37.0;27.68;78.0;92.0;83.68
alemanha;21.0;34.0;26.68;77.5;89.0;82.75;21.0;37.0;28.82;76.5;90.0;81.96
holanda;19.0;36.0;26.69;73.5;88.5;81.12;18.0;39.0;28.82;73.0;89.0;79.54
polonia;20.0;36.0;26.65;68.0;80.5;72.71;19.0;36.0;28.19;67.0;82.0;73.25
portugal;20.0;33.0;26.34;72.0;89.5;79.78;19.0;37.0;28.68;70.5;86.5;78.08
australia;21.0;34.0;27.04;57.5;86.0;71.8;19.0;36.0;26.94;57.0;82.0;68.77
gana;20.0;32.0;24.28;55.0;88.5;67.83;21.0;33.0;27.06;59.0;84.0;70.68
paraguai;18.0;35.0;24.92;63.5;84.0;76.08;18.0;33.0;26.36;63.0;82.0;73.14
tunisia;19.0;31.0;25.69;57.0;80.5;70.22;19.0;40.0;27.2;54.0;76.0;66.3
ucrania;19.0;32.0;26.08;59.0;89.5;73.04;19.0;33.0;26.0;57.0;81.0;71.0
equador;20.0;34.0;26.27;64.5;82.0;72.47;24.0;32.0;26.5;59.0;78.0;68.85
trindade_e_tobago;21.0;29.0;24.45;53.5;73.5;63.18;29.0;38.0;32.89;55.5;72.0;66.0
angola;20.0;29.0;24.78;60.0;76.5;69.89;27.0;33.0;30.0;61.0;76.0;69.58
costa_rica;19.0;28.0;23.75;58.0;77.0;65.0;23.0;29.0;26.6;62.0;73.0;66.8
togo;22.0;33.0;26.8;63.5;82.5;72.8;18.0;28.0;24.8;57.5;71.5;65.6
japao;18.0;27.0;23.6;65.0;78.0;71.4;25.0;28.0;26.33;75.0;82.0;78.67
ira;23.0;30.0;26.8;66.0;81.5;73.4;27.0;27.0;27.0;80.5;80.5;80.5
arabia_saudita;20.1;32.74;26.15;66.63;85.06;75.14;20.94;34.87;27.52;67.24;84.1;75.03
